cartodb_id,the_geom,name,id,symbolfld,nrel_id,cooling,nameplate,longitude,fuel,latitude,lakeocean,pca,state
48,0101000020E61000000000000000C854C06666666666164540,1371,38,Default Symbol,1371,1,43.5,-83.125,2,42.175,0,p103,MI
49,0101000020E61000000000000000C854C06666666666164540,1371,10,Default Symbol,1371,1,29.5,-83.125,5,42.175,0,p103,MI
50,0101000020E610000000000000006857C03333333333A34740,1374,39,Default Symbol,1374,2,922.5,-93.625,2,47.275,1,p43,MN
51,0101000020E610000066666666664E57C09A99999999694640,1375,40,Default Symbol,1375,4,324.8,-93.225,3,44.825,0,p43,MN
52,0101000020E610000000000000004857C06666666666764640,1376,41,Default Symbol,1376,4,644,-93.125,3,44.925,0,p43,MN
53,0101000020E61000009A999999993157C03333333333834640,1377,42,Default Symbol,1377,1,658.4,-92.775,2,45.025,0,p43,MN
54,0101000020E61000006666666666FE57C03333333333034240,1378,43,Default Symbol,1378,2,946,-95.975,5,36.025,0,p51,OK
55,0101000020E610000066666666661E57C03333333333034640,1380,44,Default Symbol,1380,2,20,-92.475,5,44.025,0,p43,MN
56,0101000020E610000066666666662E56C03333333333234040,1382,45,Default Symbol,1382,2,95,-88.725,5,32.275,1,p87,MS
57,0101000020E61000009A999999994156C0CDCCCCCCCC6C3E40,1383,2,Default Symbol,1383,1,299.2,-89.025,5,30.425,0,p87,MS
58,0101000020E61000009A999999994156C0CDCCCCCCCC6C3E40,1383,11,Default Symbol,1383,2,578,-89.025,2,30.425,0,p87,MS
59,0101000020E61000009A999999994156C0CDCCCCCCCC6C3E40,1383,1,Default Symbol,1383,2,686.8,-89.025,5,30.425,0,p87,MS
60,0101000020E61000009A999999994156C0CDCCCCCCCC6C3E40,1383,46,Default Symbol,1383,1,299.2,-89.025,2,30.425,0,p87,MS
61,0101000020E61000006666666666BE56C03333333333234040,1384,47,Default Symbol,1384,2,1327.6,-90.975,5,32.275,0,p87,MS
62,0101000020E610000033333333338B56C03333333333234040,1386,48,Default Symbol,1386,2,304.7,-90.175,5,32.275,0,p87,MS
63,0101000020E6100000CDCCCCCCCC5456C06666666666863F40,1387,49,Default Symbol,1387,5,285,-89.325,3,31.525,0,p87,MS
64,0101000020E6100000CDCCCCCCCC5456C06666666666863F40,1387,12,Default Symbol,1387,2,59,-89.325,5,31.525,0,p87,MS
65,0101000020E6100000CDCCCCCCCCA457C00000000000B04240,1388,50,Default Symbol,1388,2,212.8,-94.575,2,37.375,1,p55,MO
66,0101000020E610000066666666669E57C00000000000904340,1389,51,Default Symbol,1389,1,594.3,-94.475,2,39.125,0,p54,MO
67,0101000020E610000066666666669E57C00000000000904340,1389,13,Default Symbol,1389,4,322,-94.475,3,39.125,0,p54,MO
68,0101000020E610000033333333337B57C09A99999999294340,1390,52,Default Symbol,1390,2,564,-93.925,2,38.325,1,p55,MO
69,0101000020E610000033333333338B57C06666666666964340,1392,53,Default Symbol,1392,1,524,-94.175,2,39.175,0,p54,MO
