,Unnamed: 0,Unnamed: 0.1,nrel_id,cooling,longitude,fuel,latitude,state,dischargefile,f,c
69,69,1006,77043,2,-121.725,1,38.725,CA,674_325.tsv,Bio-power,ST-RC
70,70,1025,77325,3,-122.125,1,39.075,CA,681_317.tsv,Bio-power,ST-DC
71,71,1029,77364,2,-85.225,1,44.225,MI,784_1055.tsv,Bio-power,ST-RC
72,72,1030,77365,2,-83.425,1,44.675,MI,793_1091.tsv,Bio-power,ST-RC
73,73,1032,77503,2,-120.475,1,37.875,CA,657_350.tsv,Bio-power,ST-RC
74,74,1033,77504,2,-123.975,1,40.875,CA,717_280.tsv,Bio-power,ST-RC
75,75,1038,77581,2,-121.525,1,37.725,CA,654_329.tsv,Bio-power,ST-RC
76,76,1045,77698,2,-116.275,1,44.975,ID,799_434.tsv,Bio-power,ST-RC
77,77,1051,77820,2,-94.925,1,31.775,TX,535_861.tsv,Bio-power,ST-RC
78,78,1055,77935,2,-77.025,1,36.675,VA,633_1219.tsv,Bio-power,ST-RC
79,79,1057,77977,1,-69.625,1,44.675,ME,793_1367.tsv,Bio-power,ST-OT
80,80,1062,78103,2,-122.175,1,40.425,CA,708_316.tsv,Bio-power,ST-RC
81,81,1065,78169,2,-84.275,1,41.525,OH,730_1074.tsv,Bio-power,ST-RC
82,82,1071,78293,2,-72.075,1,44.225,VT,784_1318.tsv,Bio-power,ST-RC
83,83,1088,587724,2,-93.525,1,44.825,MN,796_889.tsv,Bio-power,ST-RC
84,84,1100,588008,2,-120.925,1,38.275,CA,665_341.tsv,Bio-power,ST-RC
85,85,1103,588093,2,-95.625,1,45.325,MN,806_847.tsv,Bio-power,ST-RC
86,86,1105,588164,2,-109.275,1,34.125,AZ,582_574.tsv,Bio-power,ST-RC
87,87,1114,607274,2,-91.525,1,34.475,AR,589_929.tsv,Bio-power,ST-RC
88,88,1115,608012,5,-74.325,1,40.525,NJ,710_1273.tsv,Bio-power,CC-RC
89,89,1116,609597,2,-93.175,1,44.925,MN,798_896.tsv,Bio-power,ST-RC
90,90,1131,737634,2,-110.075,1,34.525,AZ,590_558.tsv,Bio-power,ST-RC
91,91,1140,850144,2,-71.925,1,41.725,CT,734_1321.tsv,Bio-power,ST-RC
92,92,1149,891923,2,-71.175,1,44.475,NH,789_1336.tsv,Bio-power,ST-RC
93,93,1151,911906,2,-120.475,1,37.175,CA,643_350.tsv,Bio-power,ST-RC
94,94,1152,912854,2,-94.525,1,31.425,TX,528_869.tsv,Bio-power,ST-RC
95,95,1160,1143769,2,-84.125,1,33.075,GA,561_1077.tsv,Bio-power,ST-RC
96,96,1161,1144030,2,-122.425,1,47.275,WA,845_311.tsv,Bio-power,ST-RC
97,97,1162,1161596,2,-120.275,1,37.125,CA,642_354.tsv,Bio-power,ST-RC
98,98,1164,1173151,2,-82.375,1,29.775,FL,495_1112.tsv,Bio-power,ST-RC
99,99,1166,1181214,2,-81.675,1,33.275,SC,565_1126.tsv,Bio-power,ST-RC
100,100,1173,1574461,2,-82.875,1,32.525,GA,550_1102.tsv,Bio-power,ST-RC
101,101,1175,1585142,2,-78.875,1,36.675,VA,633_1182.tsv,Bio-power,ST-RC
102,102,1181,1997368,2,-93.175,1,31.875,LA,537_896.tsv,Bio-power,ST-RC
