,nrel_id,cooling,longitude,fuel,latitude,state,dischargefile
2,1307,2,-91.225,5,30.425,LA,508_935.tsv
3,1308,2,-93.275,5,30.325,LA,506_894.tsv
5,1309,1,-91.125,5,30.225,LA,504_937.tsv
7,1312,1,-90.525,5,30.025,LA,500_949.tsv
9,1313,1,-90.125,5,29.925,LA,498_957.tsv
12,1317,1,-93.775,5,32.525,LA,550_884.tsv
13,1319,2,-90.625,5,29.575,LA,491_947.tsv
14,1320,2,-92.025,5,30.225,LA,504_919.tsv
15,1322,2,-91.225,5,29.725,LA,494_935.tsv
16,1324,2,-91.325,5,30.675,LA,513_933.tsv
18,1328,1,-76.425,5,39.175,MD,683_1231.tsv
20,1329,1,-76.375,5,39.075,MD,681_1232.tsv
22,1332,1,-76.375,5,39.125,MD,682_1232.tsv
23,1334,1,-75.825,5,38.425,MD,668_1243.tsv
25,1336,2,-76.625,5,38.475,MD,669_1227.tsv
29,1339,1,-71.075,5,42.375,MA,747_1338.tsv
31,1348,1,-72.625,5,42.075,MA,741_1307.tsv
34,1350,1,-71.075,5,41.875,MA,737_1338.tsv
36,1352,2,-83.825,5,43.675,MI,773_1083.tsv
39,1360,1,-83.125,5,42.225,MI,744_1097.tsv
48,1371,1,-83.125,5,42.175,MI,743_1097.tsv
53,1378,2,-95.975,5,36.025,OK,620_840.tsv
54,1380,2,-92.475,5,44.025,MN,780_910.tsv
55,1382,2,-88.725,5,32.275,MS,545_985.tsv
56,1383,1,-89.025,5,30.425,MS,508_979.tsv
58,1383,2,-89.025,5,30.425,MS,508_979.tsv
60,1384,2,-90.975,5,32.275,MS,545_940.tsv
61,1386,2,-90.175,5,32.275,MS,545_956.tsv
63,1387,2,-89.325,5,31.525,MS,530_973.tsv
70,1393,2,-94.925,5,39.725,MO,694_861.tsv
78,1405,1,-99.675,5,40.675,NE,713_766.tsv
85,1414,2,-119.125,5,39.125,NV,682_377.tsv
86,1415,2,-119.525,5,39.575,NV,691_369.tsv
92,1419,2,-74.625,5,39.275,NJ,685_1267.tsv
98,1437,2,-106.575,5,31.825,NM,536_628.tsv
99,1439,2,-103.325,5,32.725,NM,554_693.tsv
100,1441,2,-106.625,5,35.175,NM,603_627.tsv
102,1444,2,-103.375,5,32.725,NM,554_692.tsv
104,1445,1,-73.975,5,41.625,NY,732_1280.tsv
106,1467,1,-73.925,5,41.225,NY,724_1281.tsv
107,1471,2,-79.225,5,42.125,NY,742_1175.tsv
130,1510,1,-84.525,5,39.425,OH,688_1069.tsv
133,1514,2,-97.175,5,35.525,OK,610_816.tsv
136,1516,2,-97.675,5,35.475,OK,609_806.tsv
137,1517,2,-96.725,5,34.975,OK,599_825.tsv
138,1519,2,-98.325,5,35.075,OK,601_793.tsv
139,1520,2,-96.025,5,36.125,OK,622_839.tsv
140,1521,2,-98.225,5,35.075,OK,601_795.tsv
142,1522,2,-99.225,5,36.425,OK,628_775.tsv
152,1544,2,-75.125,5,40.775,PA,715_1257.tsv
154,1545,2,-76.625,5,40.975,PA,719_1227.tsv
156,1550,1,-75.325,5,39.825,PA,696_1253.tsv
160,1562,2,-82.425,5,34.575,SC,591_1111.tsv
162,1567,1,-81.925,5,33.425,SC,568_1121.tsv
176,1589,2,-96.575,5,32.825,TX,556_828.tsv
177,1590,2,-96.925,5,32.725,TX,554_821.tsv
179,1593,2,-106.425,5,31.975,TX,539_631.tsv
180,1594,2,-95.525,5,30.425,TX,508_849.tsv
181,1595,2,-93.875,5,30.025,TX,500_882.tsv
183,1598,2,-95.225,5,29.825,TX,496_855.tsv
186,1603,2,-95.675,5,29.475,TX,489_846.tsv
187,1605,2,-94.675,5,32.325,TX,546_866.tsv
188,1606,2,-94.725,5,32.925,TX,558_865.tsv
189,1607,2,-94.525,5,32.825,TX,556_869.tsv
190,1608,2,-101.725,5,33.525,TX,570_725.tsv
191,1609,2,-102.025,5,35.825,TX,616_719.tsv
192,1610,2,-101.725,5,35.275,TX,605_725.tsv
193,1611,2,-102.425,5,34.175,TX,583_711.tsv
194,1615,2,-97.225,5,32.725,TX,554_815.tsv
196,1622,2,-94.975,5,31.925,TX,538_860.tsv
197,1624,2,-96.125,5,32.125,TX,542_837.tsv
198,1636,2,-97.275,5,30.125,TX,502_814.tsv
199,1637,2,-101.775,5,33.525,TX,570_724.tsv
200,1641,2,-98.275,5,29.275,TX,485_794.tsv
201,1642,2,-98.375,5,29.225,TX,484_792.tsv
202,1646,2,-99.075,5,28.925,TX,478_778.tsv
203,1648,2,-111.925,5,40.775,UT,715_521.tsv
205,1652,1,-78.275,5,37.725,VA,654_1194.tsv
209,1655,2,-77.275,5,38.475,VA,669_1214.tsv
211,1655,1,-77.275,5,38.475,VA,669_1214.tsv
213,1656,1,-76.125,5,37.225,VA,644_1237.tsv
223,1681,1,-89.675,5,44.825,WI,796_966.tsv
229,1688,2,-96.125,5,33.175,TX,563_837.tsv
231,1690,2,-97.125,5,33.225,TX,564_817.tsv
236,1701,2,-118.325,5,34.175,CA,583_393.tsv
245,1711,2,-82.675,5,43.125,MI,762_1106.tsv
247,1713,2,-82.325,5,27.625,FL,452_1113.tsv
250,1714,2,-80.575,5,27.075,FL,441_1148.tsv
253,1716,2,-91.375,5,30.725,LA,514_932.tsv
292,1755,2,-92.725,5,31.375,LA,527_905.tsv
298,1762,2,-96.475,5,30.725,TX,514_830.tsv
308,1773,2,-92.475,5,31.325,LA,526_910.tsv
334,1813,2,-70.775,5,43.075,NH,761_1344.tsv
335,1814,1,-73.975,5,41.575,NY,731_1280.tsv
337,1821,2,-91.125,5,33.375,MS,567_937.tsv
338,1822,1,-90.575,5,30.025,LA,500_948.tsv
433,2036,1,-75.525,5,39.575,DE,691_1249.tsv
548,2242,1,-85.975,5,33.975,AL,579_1040.tsv
552,2245,1,-86.475,5,33.225,AL,564_1030.tsv
562,2257,1,-91.525,5,29.825,LA,496_929.tsv
566,2263,2,-111.925,5,33.425,AZ,568_521.tsv
568,2266,2,-114.725,5,32.725,AZ,554_465.tsv
570,2267,2,-110.925,5,32.175,AZ,543_541.tsv
574,2271,2,-112.225,5,33.575,AZ,571_515.tsv
575,2272,2,-111.925,5,33.375,AZ,567_521.tsv
580,2275,2,-92.175,5,34.725,AR,594_916.tsv
581,2277,2,-93.475,5,33.375,AR,567_890.tsv
582,2278,1,-92.925,5,34.425,AR,588_901.tsv
585,2298,2,-117.525,5,34.075,CA,581_409.tsv
589,2308,2,-115.525,5,32.775,CA,555_449.tsv
591,2312,2,-118.175,5,34.125,CA,582_396.tsv
596,2318,2,-105.025,5,39.725,CO,694_659.tsv
598,2320,2,-104.825,5,38.875,CO,677_663.tsv
601,2325,1,-72.075,5,41.425,CT,728_1318.tsv
602,2327,1,-72.575,5,41.525,CT,730_1308.tsv
603,2327,2,-72.575,5,41.525,CT,730_1308.tsv
607,2332,1,-75.575,5,39.625,DE,692_1248.tsv
609,2334,2,-75.525,5,39.175,DE,683_1249.tsv
616,2345,2,-80.325,5,25.425,FL,408_1153.tsv
618,2350,1,-83.175,5,30.375,FL,507_1096.tsv
622,2358,2,-82.425,5,29.775,FL,495_1111.tsv
625,2361,1,-81.425,5,30.375,FL,507_1131.tsv
629,2365,2,-81.925,5,28.075,FL,461_1121.tsv
632,2367,2,-84.425,5,30.475,FL,509_1071.tsv
640,2376,2,-84.875,5,33.475,GA,569_1062.tsv
659,2414,1,-86.175,5,39.725,IN,694_1036.tsv
675,2429,1,-90.625,5,42.525,IA,750_947.tsv
677,2431,2,-90.225,5,41.775,IA,735_955.tsv
679,2434,2,-92.825,5,42.025,IA,740_903.tsv
688,2444,2,-100.775,5,37.175,KS,643_744.tsv
689,2445,2,-99.975,5,37.725,KS,654_760.tsv
690,2446,2,-98.825,5,38.425,KS,668_783.tsv
691,2448,2,-97.475,5,37.825,KS,656_810.tsv
693,2450,2,-97.325,5,37.575,KS,651_813.tsv
694,2452,2,-97.925,5,38.025,KS,660_801.tsv
697,2455,2,-95.625,5,37.075,KS,641_847.tsv
698,2456,2,-94.625,5,39.075,KS,681_867.tsv
700,2458,2,-100.875,5,37.975,KS,659_742.tsv
710,72728,2,-87.425,5,41.725,IN,734_1011.tsv
711,72730,2,-74.025,5,40.775,NY,715_1279.tsv
712,72731,2,-73.975,5,40.775,NY,715_1280.tsv
723,72813,2,-106.475,5,35.375,NM,607_630.tsv
734,73009,1,-91.375,5,35.275,AR,605_932.tsv
745,73271,2,-97.075,5,36.125,OK,622_818.tsv
752,73384,2,-68.825,5,44.575,ME,791_1383.tsv
763,73519,1,-67.975,5,46.825,ME,836_1400.tsv
774,73702,2,-97.125,5,39.275,KS,685_817.tsv
792,73881,2,-111.975,5,33.425,AZ,568_520.tsv
799,74066,1,-81.475,5,40.525,OH,710_1130.tsv
806,74134,2,-97.025,5,37.225,KS,644_819.tsv
816,74298,1,-97.175,5,40.175,NE,703_816.tsv
849,74871,2,-87.425,5,41.675,IN,733_1011.tsv
851,74888,2,-90.225,5,33.525,MS,570_955.tsv
862,75004,2,-73.975,5,40.675,NY,713_1280.tsv
874,75123,2,-101.775,5,33.575,TX,571_724.tsv
909,75722,2,-93.225,5,39.125,MO,682_895.tsv
911,75751,1,-92.775,5,33.525,AR,570_904.tsv
920,75878,2,-93.275,5,32.575,LA,551_894.tsv
921,75882,2,-80.625,5,40.325,OH,706_1147.tsv
934,76147,2,-94.475,5,44.325,MN,786_870.tsv
935,76147,1,-94.475,5,44.325,MN,786_870.tsv
939,76239,2,-92.975,5,43.675,MN,773_900.tsv
941,76240,2,-95.675,5,36.425,OK,628_846.tsv
965,76542,2,-86.175,5,39.775,IN,695_1036.tsv
972,76663,2,-97.025,5,36.625,OK,632_819.tsv
980,76734,2,-98.725,5,37.625,KS,652_785.tsv
1004,77005,2,-90.375,5,32.925,MS,558_952.tsv
1011,77093,2,-95.025,5,45.175,MN,803_859.tsv
1012,77105,2,-90.575,5,34.175,MS,583_948.tsv
1015,77131,2,-89.575,5,46.775,MI,835_968.tsv
1017,77144,2,-122.975,5,44.075,OR,781_300.tsv
1019,77218,2,-97.425,5,37.275,KS,645_811.tsv
1060,78060,2,-97.525,5,25.875,TX,417_809.tsv
1064,78151,2,-75.175,5,39.975,PA,699_1256.tsv
1067,78220,1,-97.125,5,28.875,TX,477_817.tsv
1077,385643,2,-91.175,5,30.475,LA,509_936.tsv
1109,594170,2,-76.925,5,38.975,MD,679_1221.tsv
1113,607176,2,-78.825,5,38.425,VA,668_1183.tsv
1127,676259,1,-82.875,5,38.625,OH,672_1102.tsv
1144,875399,2,-90.175,5,38.625,MO,672_956.tsv
1153,913505,2,-83.425,5,41.725,OH,734_1091.tsv
1159,1134407,2,-115.425,5,35.825,NV,616_451.tsv
1165,1181091,2,-90.225,5,38.725,IL,674_955.tsv
1168,1319175,2,-101.725,5,46.825,ND,836_725.tsv
1174,1584122,2,-90.925,5,30.125,LA,502_941.tsv
1177,1651571,2,-76.975,5,39.025,MD,680_1220.tsv
1178,1680849,2,-87.475,5,41.675,IN,733_1010.tsv
1179,1744511,2,-82.075,5,27.875,FL,457_1118.tsv
