,place,lon,lat,cooling,fuel,state,f,c,idc
38,1360,-83.125,42.225,1,5,MI,Oil,ST-OT,0
39,1361,-82.475,42.725,1,2,MI,Coal,ST-OT,0
40,1362,-83.125,42.075,1,2,MI,Coal,ST-OT,0
41,1363,-87.425,46.575,2,2,MI,Coal,ST-RC,4
42,1365,-86.225,43.075,1,2,MI,Coal,ST-OT,0
43,1367,-84.625,42.775,1,2,MI,Coal,ST-OT,1
44,1368,-84.625,42.675,2,2,MI,Coal,ST-RC,0
45,1370,-87.425,46.475,2,2,MI,Coal,ST-RC,4
46,1371,-83.125,42.175,1,2,MI,Coal,ST-OT,0
47,1371,-83.125,42.175,1,5,MI,Oil,ST-OT,0
48,1374,-93.625,47.275,2,2,MN,Coal,ST-RC,4
49,1375,-93.225,44.825,4,3,MN,Gas,CC-OT,0
50,1376,-93.125,44.925,4,3,MN,Gas,CC-OT,0
51,1377,-92.775,45.025,1,2,MN,Coal,ST-OT,0
52,1378,-95.975,36.025,2,5,OK,Oil,ST-RC,1
53,1380,-92.475,44.025,2,5,MN,Oil,ST-RC,0
54,1382,-88.725,32.275,2,5,MS,Oil,ST-RC,5
55,1383,-89.025,30.425,1,5,MS,Oil,ST-OT,1
56,1383,-89.025,30.425,2,2,MS,Coal,ST-RC,1
57,1383,-89.025,30.425,2,5,MS,Oil,ST-RC,1
58,1383,-89.025,30.425,1,2,MS,Coal,ST-OT,1
59,1384,-90.975,32.275,2,5,MS,Oil,ST-RC,5
60,1386,-90.175,32.275,2,5,MS,Oil,ST-RC,5
61,1387,-89.325,31.525,5,3,MS,Gas,CC-RC,5
62,1387,-89.325,31.525,2,5,MS,Oil,ST-RC,5
63,1388,-94.575,37.375,2,2,MO,Coal,ST-RC,1
64,1389,-94.475,39.125,1,2,MO,Coal,ST-OT,0
65,1389,-94.475,39.125,4,3,MO,Gas,CC-OT,0
66,1390,-93.925,38.325,2,2,MO,Coal,ST-RC,3
67,1392,-94.175,39.175,1,2,MO,Coal,ST-OT,0
68,1393,-94.925,39.725,1,2,MO,Coal,ST-OT,3
69,1393,-94.925,39.725,2,5,MO,Oil,ST-RC,3
70,1394,-90.825,38.575,1,2,MO,Coal,ST-OT,3
71,1395,-90.325,38.425,1,2,MO,Coal,ST-OT,3
72,1396,-90.275,38.925,1,2,MO,Coal,ST-OT,3
73,1397,-92.275,38.975,2,2,MO,Coal,ST-RC,3
74,1398,-94.325,39.075,2,2,MO,Coal,ST-RC,3
75,1399,-93.275,37.075,2,2,MO,Coal,ST-RC,1
76,1400,-89.525,36.475,1,2,MO,Coal,ST-OT,3
77,1405,-99.675,40.675,1,5,NE,Oil,ST-OT,4
78,1406,-96.475,41.425,2,2,NE,Coal,ST-RC,0
79,1408,-96.775,40.575,2,2,NE,Coal,ST-RC,0
80,1410,-95.925,41.325,1,2,NE,Coal,ST-OT,0
81,1410,-95.925,41.325,2,2,NE,Coal,ST-RC,0
82,1411,-115.075,36.075,5,3,NV,Gas,CC-RC,1
83,1412,-114.625,36.675,2,2,NV,Coal,ST-RC,0
84,1414,-119.125,39.125,2,5,NV,Oil,ST-RC,4
85,1415,-119.525,39.575,2,5,NV,Oil,ST-RC,4
86,1415,-119.525,39.575,5,3,NV,Gas,CC-RC,4
87,1417,-71.475,43.125,1,2,NH,Coal,ST-OT,0
88,1418,-70.725,43.075,1,2,NH,Coal,ST-OT,4
89,1418,-70.725,43.075,1,1,NH,Bio-power,ST-OT,4
90,1419,-74.625,39.275,2,2,NJ,Coal,ST-RC,3
91,1419,-74.625,39.275,2,5,NJ,Oil,ST-RC,3
92,1427,-75.175,40.575,5,3,NJ,Gas,CC-RC,3
93,1428,-74.075,40.825,5,3,NJ,Gas,CC-RC,3
94,1432,-74.175,40.625,5,3,NJ,Gas,CC-RC,3
95,1433,-74.725,40.175,1,2,NJ,Coal,ST-OT,0
96,1436,-108.475,36.725,2,2,NM,Coal,ST-RC,4
97,1437,-106.575,31.825,2,5,NM,Oil,ST-RC,3
98,1439,-103.325,32.725,2,5,NM,Oil,ST-RC,3
99,1441,-106.625,35.175,2,5,NM,Oil,ST-RC,4
100,1442,-108.425,36.725,2,2,NM,Coal,ST-RC,4
101,1444,-103.375,32.725,2,5,NM,Oil,ST-RC,3
102,1445,-73.975,41.625,1,2,NY,Coal,ST-OT,0
103,1445,-73.975,41.625,1,5,NY,Oil,ST-OT,0
104,1450,-73.975,41.325,1,4,NY,Nuclear,ST-OT,0
105,1467,-73.925,41.225,1,5,NY,Oil,ST-OT,3
106,1471,-79.225,42.125,2,5,NY,Oil,ST-RC,0
107,1472,-82.575,35.475,2,2,NC,Coal,ST-RC,1
108,1475,-78.025,35.375,5,3,NC,Gas,CC-RC,1
109,1477,-79.075,36.475,2,2,NC,Coal,ST-RC,1
110,1478,-77.975,34.275,5,3,NC,Gas,CC-RC,1
111,1480,-81.025,35.175,2,2,NC,Coal,ST-RC,1
