,nrel_id,cooling,longitude,fuel,latitude,state,dischargefile
230,1689,2,-84.775,2,42.025,MI,740_1064.tsv
232,1696,2,-111.425,2,36.925,AZ,638_531.tsv
233,1698,2,-87.125,2,33.575,AL,571_1017.tsv
234,1699,2,-81.275,2,39.375,WV,687_1134.tsv
235,1700,2,-92.125,2,34.425,AR,588_917.tsv
237,1702,2,-89.975,2,40.475,IL,709_960.tsv
238,1703,2,-88.275,2,38.925,IL,678_994.tsv
239,1704,2,-84.825,2,38.875,KY,677_1063.tsv
240,1705,2,-84.225,2,38.875,OH,677_1075.tsv
241,1706,2,-107.575,2,40.475,CO,709_608.tsv
242,1708,2,-101.125,2,47.275,ND,845_737.tsv
243,1709,2,-83.475,2,38.675,OH,673_1090.tsv
244,1710,1,-82.475,2,42.775,MI,755_1110.tsv
246,1712,2,-83.825,2,38.725,KY,674_1083.tsv
251,1715,2,-84.925,2,33.425,GA,568_1061.tsv
252,1716,2,-91.375,2,30.725,LA,514_932.tsv
254,1716,1,-91.375,2,30.725,LA,514_932.tsv
255,1717,2,-89.425,2,31.225,MS,524_971.tsv
256,1718,1,-94.675,2,39.175,KS,683_866.tsv
257,1719,1,-94.975,2,39.425,MO,688_860.tsv
258,1720,2,-96.125,2,39.175,KS,683_837.tsv
259,1721,2,-85.425,2,38.575,KY,671_1051.tsv
260,1722,2,-88.625,2,30.525,MS,510_987.tsv
262,1723,2,-106.625,2,46.275,MT,825_627.tsv
263,1724,1,-101.125,2,41.175,NE,723_737.tsv
265,1727,2,-87.025,2,41.225,IN,724_1019.tsv
266,1728,1,-104.125,2,47.675,MT,853_677.tsv
267,1729,2,-93.925,2,45.375,MN,807_881.tsv
268,1731,2,-80.425,2,40.625,PA,712_1151.tsv
269,1732,2,-97.025,2,36.475,OK,629_819.tsv
270,1733,1,-95.775,2,40.625,NE,712_844.tsv
271,1733,2,-95.775,2,40.625,NE,712_844.tsv
272,1734,2,-96.475,2,45.325,SD,806_830.tsv
273,1735,3,-105.475,2,44.275,WY,785_650.tsv
274,1736,2,-119.775,2,45.675,OR,813_364.tsv
276,1738,2,-87.825,2,38.375,IN,667_1003.tsv
277,1739,1,-81.175,2,32.375,GA,547_1136.tsv
278,1740,2,-96.075,2,30.625,TX,512_838.tsv
279,1741,2,-87.725,2,37.875,IN,657_1005.tsv
280,1742,2,-94.525,2,36.275,AR,625_869.tsv
281,1743,2,-94.825,2,33.075,TX,561_863.tsv
282,1744,2,-94.525,2,32.275,TX,545_869.tsv
283,1746,1,-90.275,2,38.125,MO,662_954.tsv
284,1748,2,-111.025,2,39.175,UT,683_539.tsv
285,1749,2,-87.025,2,37.875,IN,657_1019.tsv
286,1750,2,-87.875,2,42.525,WI,750_1002.tsv
287,1751,2,-109.275,2,34.575,AZ,591_574.tsv
288,1752,2,-97.225,2,28.725,TX,474_815.tsv
289,1753,2,-96.775,2,29.925,TX,498_824.tsv
290,1754,2,-98.475,2,28.725,TX,474_790.tsv
291,1755,2,-92.725,2,31.375,LA,527_905.tsv
293,1756,2,-101.775,2,35.325,TX,606_724.tsv
294,1757,2,-102.575,2,34.175,TX,583_708.tsv
295,1758,2,-93.375,2,37.125,MO,642_892.tsv
296,1759,2,-104.875,2,42.125,WY,742_662.tsv
297,1761,2,-87.525,2,39.075,IN,681_1009.tsv
300,1764,2,-103.675,2,40.275,CO,705_686.tsv
301,1765,2,-79.375,2,33.225,SC,564_1172.tsv
302,1766,2,-78.875,2,36.525,NC,630_1182.tsv
303,1767,2,-92.575,2,41.125,IA,722_908.tsv
304,1768,2,-83.825,2,33.075,GA,561_1083.tsv
305,1770,2,-81.975,2,38.975,WV,679_1120.tsv
306,1771,2,-101.825,2,47.525,ND,850_723.tsv
307,1772,2,-112.575,2,39.525,UT,690_508.tsv
309,1775,2,-87.425,2,37.575,KY,651_1011.tsv
310,1776,2,-91.425,2,35.675,AR,613_931.tsv
311,1777,2,-97.025,2,30.575,TX,511_819.tsv
312,1778,2,-91.075,2,41.325,IA,726_938.tsv
313,1779,1,-87.375,2,37.925,IN,658_1012.tsv
314,1780,2,-105.025,2,40.875,CO,717_659.tsv
315,1781,2,-89.625,2,36.875,MO,637_967.tsv
316,1782,2,-95.325,2,33.975,OK,579_853.tsv
317,1783,2,-87.125,2,37.425,KY,648_1017.tsv
318,1784,2,-96.725,2,31.075,TX,521_825.tsv
319,1785,2,-98.325,2,29.275,TX,485_793.tsv
321,1787,2,-80.925,2,33.325,SC,566_1141.tsv
322,1788,2,-78.675,2,36.875,VA,637_1186.tsv
323,1789,5,-81.975,2,27.725,FL,454_1120.tsv
328,1798,3,-105.375,2,44.275,WY,785_652.tsv
332,1808,2,-109.675,2,40.125,UT,702_566.tsv
333,1809,2,-94.475,2,32.475,TX,549_870.tsv
336,1817,2,-89.475,2,43.475,WI,769_970.tsv
340,1825,2,-109.475,2,41.575,WY,731_570.tsv
342,1827,2,-111.075,2,39.375,UT,687_538.tsv
344,1830,2,-82.075,2,38.975,OH,679_1118.tsv
345,1831,2,-104.725,2,38.675,CO,673_665.tsv
346,1832,2,-101.775,2,47.525,ND,850_724.tsv
347,1833,2,-109.175,2,34.325,AZ,586_576.tsv
348,1834,2,-117.125,2,40.875,NV,717_417.tsv
349,1835,1,-79.825,2,40.525,PA,710_1163.tsv
354,1875,2,-75.475,2,39.775,NJ,695_1250.tsv
356,1878,2,-78.825,2,40.575,PA,711_1183.tsv
363,1895,2,-77.175,2,37.325,VA,646_1216.tsv
366,1898,2,-77.725,2,35.975,NC,619_1205.tsv
369,1907,2,-75.525,2,39.625,NJ,692_1249.tsv
373,1914,2,-94.625,2,35.175,OK,603_867.tsv
374,1915,2,-81.625,2,30.425,FL,508_1127.tsv
375,1920,2,-78.725,2,39.575,MD,691_1185.tsv
379,1927,1,-79.975,2,39.625,WV,692_1160.tsv
384,1936,2,-91.675,2,41.975,IA,739_926.tsv
385,1937,2,-88.875,2,39.875,IL,697_982.tsv
386,1939,2,-88.925,2,39.825,IL,696_981.tsv
401,1970,2,-81.075,2,32.075,GA,541_1138.tsv
402,1971,1,-88.025,2,30.725,AL,514_999.tsv
406,1979,1,-80.875,2,39.775,WV,695_1142.tsv
415,1998,2,-75.875,2,40.875,PA,717_1242.tsv
423,2013,2,-79.775,2,41.225,PA,724_1164.tsv
424,2014,2,-80.525,2,27.025,FL,440_1149.tsv
427,2020,2,-78.525,2,36.625,VA,632_1189.tsv
435,2040,2,-77.625,2,36.425,NC,628_1207.tsv
436,2041,2,-77.425,2,37.475,VA,649_1211.tsv
441,2050,2,-77.275,2,38.225,VA,664_1214.tsv
459,2081,2,-77.575,2,36.375,NC,627_1208.tsv
483,2113,2,-89.275,2,33.375,MS,567_974.tsv
545,2240,1,-87.975,2,30.975,AL,519_1000.tsv
547,2242,1,-85.975,2,33.975,AL,579_1040.tsv
549,2243,1,-87.175,2,33.625,AL,572_1016.tsv
550,2243,2,-87.175,2,33.625,AL,572_1016.tsv
551,2244,1,-87.775,2,32.575,AL,551_1004.tsv
553,2245,2,-86.475,2,33.225,AL,564_1030.tsv
554,2245,1,-86.475,2,33.225,AL,564_1030.tsv
555,2246,1,-87.825,2,34.775,AL,595_1003.tsv
556,2248,2,-93.575,2,32.025,LA,540_888.tsv
557,2250,1,-87.925,2,31.475,AL,529_1001.tsv
558,2250,2,-87.925,2,31.475,AL,529_1001.tsv
559,2251,2,-98.375,2,40.825,NE,716_792.tsv
560,2252,2,-98.325,2,40.575,NE,711_793.tsv
561,2253,2,-108.075,2,35.425,NM,608_598.tsv
