,place,lat,lon,fuel,cooling
273,1735,44.275,-105.475,2,3
328,1798,44.275,-105.375,2,3
1003,77002,45.825,-108.475,2,3
1025,77325,39.075,-122.125,1,3
1026,77328,44.275,-105.425,2,3
1095,587961,44.325,-105.375,2,3
