	i	date	count	countnew
0	0	2000-01-01	0.25	0.0
1	1	2000-01-02	4.55	1.0
2	2	2000-01-03	4.55	1.0
3	3	2000-01-04	4.55	1.0
4	4	2000-01-05	4.55	1.0
5	5	2000-01-06	3.91	0.851162790698
6	6	2000-01-07	3.84	0.83488372093
7	7	2000-01-08	3.78	0.820930232558
8	8	2000-01-09	3.71	0.804651162791
9	9	2000-01-10	3.65	0.790697674419
10	10	2000-01-11	3.59	0.776744186047
11	11	2000-01-12	3.53	0.762790697674
12	12	2000-01-13	3.47	0.748837209302
13	13	2000-01-14	3.42	0.737209302326
14	14	2000-01-15	3.36	0.723255813953
15	15	2000-01-16	3.3	0.709302325581
16	16	2000-01-17	3.25	0.697674418605
17	17	2000-01-18	3.19	0.683720930233
18	18	2000-01-19	3.14	0.672093023256
19	19	2000-01-20	3.09	0.660465116279
20	20	2000-01-21	3.04	0.648837209302
21	21	2000-01-22	2.99	0.637209302326
22	22	2000-01-23	2.94	0.625581395349
23	23	2000-01-24	4.55	1.0
24	24	2000-01-25	4.55	1.0
25	25	2000-01-26	4.55	1.0
26	26	2000-01-27	4.55	1.0
27	27	2000-01-28	4.55	1.0
28	28	2000-01-29	4.55	1.0
29	29	2000-01-30	4.55	1.0
30	30	2000-01-31	4.55	1.0
31	31	2000-02-01	4.55	1.0
32	32	2000-02-02	4.55	1.0
33	33	2000-02-03	4.55	1.0
34	34	2000-02-04	4.55	1.0
35	35	2000-02-05	4.55	1.0
36	36	2000-02-06	4.55	1.0
37	37	2000-02-07	4.55	1.0
38	38	2000-02-08	4.55	1.0
39	39	2000-02-09	4.55	1.0
40	40	2000-02-10	4.55	1.0
41	41	2000-02-11	4.55	1.0
42	42	2000-02-12	4.55	1.0
43	43	2000-02-13	4.55	1.0
44	44	2000-02-14	4.55	1.0
45	45	2000-02-15	4.55	1.0
46	46	2000-02-16	4.55	1.0
47	47	2000-02-17	4.55	1.0
48	48	2000-02-18	4.55	1.0
49	49	2000-02-19	4.55	1.0
50	50	2000-02-20	4.55	1.0
51	51	2000-02-21	4.55	1.0
