	i	date	count	countnew
0	0	2000-01-01	0.99	0.857142857143
1	1	2000-01-02	1.0	0.928571428571
2	2	2000-01-03	0.98	0.785714285714
3	3	2000-01-04	0.98	0.785714285714
4	4	2000-01-05	1.0	0.928571428571
5	5	2000-01-06	1.0	0.928571428571
6	6	2000-01-07	1.01	1.0
7	7	2000-01-08	1.01	1.0
8	8	2000-01-09	1.01	1.0
9	9	2000-01-10	1.0	0.928571428571
10	10	2000-01-11	0.99	0.857142857143
11	11	2000-01-12	1.0	0.928571428571
12	12	2000-01-13	1.01	1.0
13	13	2000-01-14	1.0	0.928571428571
14	14	2000-01-15	1.0	0.928571428571
15	15	2000-01-16	0.98	0.785714285714
16	16	2000-01-17	0.99	0.857142857143
17	17	2000-01-18	1.01	1.0
18	18	2000-01-19	0.99	0.857142857143
19	19	2000-01-20	0.99	0.857142857143
20	20	2000-01-21	0.99	0.857142857143
21	21	2000-01-22	0.99	0.857142857143
22	22	2000-01-23	0.98	0.785714285714
23	23	2000-01-24	0.96	0.642857142857
24	24	2000-01-25	1.0	0.928571428571
25	25	2000-01-26	1.01	1.0
26	26	2000-01-27	1.01	1.0
27	27	2000-01-28	1.01	1.0
28	28	2000-01-29	1.0	0.928571428571
29	29	2000-01-30	1.0	0.928571428571
30	30	2000-01-31	1.0	0.928571428571
31	31	2000-02-01	0.99	0.857142857143
32	32	2000-02-02	0.99	0.857142857143
33	33	2000-02-03	0.99	0.857142857143
34	34	2000-02-04	0.97	0.714285714286
35	35	2000-02-05	0.97	0.714285714286
36	36	2000-02-06	0.98	0.785714285714
37	37	2000-02-07	0.97	0.714285714286
38	38	2000-02-08	0.99	0.857142857143
39	39	2000-02-09	0.99	0.857142857143
40	40	2000-02-10	0.98	0.785714285714
41	41	2000-02-11	0.99	0.857142857143
42	42	2000-02-12	0.96	0.642857142857
43	43	2000-02-13	0.96	0.642857142857
44	44	2000-02-14	0.96	0.642857142857
45	45	2000-02-15	0.99	0.857142857143
46	46	2000-02-16	0.98	0.785714285714
47	47	2000-02-17	0.97	0.714285714286
48	48	2000-02-18	0.99	0.857142857143
49	49	2000-02-19	0.98	0.785714285714
50	50	2000-02-20	0.98	0.785714285714
51	51	2000-02-21	0.96	0.642857142857
52	52	2000-02-22	1.0	0.928571428571
53	53	2000-02-23	1.0	0.928571428571
54	54	2000-02-24	1.0	0.928571428571
55	55	2000-02-25	0.99	0.857142857143
56	56	2000-02-26	0.99	0.857142857143
57	57	2000-02-27	0.98	0.785714285714
58	58	2000-02-28	0.97	0.714285714286
59	59	2000-02-29	0.95	0.571428571429
60	60	2000-03-01	0.96	0.642857142857
61	61	2000-03-02	0.96	0.642857142857
62	62	2000-03-03	1.0	0.928571428571
63	63	2000-03-04	1.0	0.928571428571
64	64	2000-03-05	0.99	0.857142857143
65	65	2000-03-06	0.99	0.857142857143
66	66	2000-03-07	0.99	0.857142857143
67	67	2000-03-08	0.98	0.785714285714
68	68	2000-03-09	0.98	0.785714285714
69	69	2000-03-10	0.99	0.857142857143
70	70	2000-03-11	0.99	0.857142857143
71	71	2000-03-12	0.98	0.785714285714
72	72	2000-03-13	1.01	1.0
73	73	2000-03-14	1.0	0.928571428571
74	74	2000-03-15	0.99	0.857142857143
75	75	2000-03-16	0.97	0.714285714286
76	76	2000-03-17	0.99	0.857142857143
77	77	2000-03-18	0.98	0.785714285714
78	78	2000-03-19	0.96	0.642857142857
79	79	2000-03-20	0.96	0.642857142857
80	80	2000-03-21	0.98	0.785714285714
81	81	2000-03-22	0.98	0.785714285714
82	82	2000-03-23	0.97	0.714285714286
83	83	2000-03-24	0.97	0.714285714286
84	84	2000-03-25	0.95	0.571428571429
85	85	2000-03-26	0.97	0.714285714286
86	86	2000-03-27	0.95	0.571428571429
87	87	2000-03-28	0.98	0.785714285714
88	88	2000-03-29	0.98	0.785714285714
89	89	2000-03-30	0.97	0.714285714286
90	90	2000-03-31	0.96	0.642857142857
91	91	2000-04-01	0.97	0.714285714286
92	92	2000-04-02	0.98	0.785714285714
93	93	2000-04-03	0.98	0.785714285714
94	94	2000-04-04	0.98	0.785714285714
95	95	2000-04-05	0.98	0.785714285714
96	96	2000-04-06	0.97	0.714285714286
97	97	2000-04-07	0.97	0.714285714286
98	98	2000-04-08	0.96	0.642857142857
99	99	2000-04-09	0.97	0.714285714286
100	100	2000-04-10	0.96	0.642857142857
101	101	2000-04-11	0.95	0.571428571429
102	102	2000-04-12	0.95	0.571428571429
103	103	2000-04-13	0.94	0.5
104	104	2000-04-14	0.95	0.571428571429
105	105	2000-04-15	0.95	0.571428571429
106	106	2000-04-16	0.96	0.642857142857
107	107	2000-04-17	0.97	0.714285714286
108	108	2000-04-18	0.98	0.785714285714
109	109	2000-04-19	0.98	0.785714285714
110	110	2000-04-20	0.98	0.785714285714
111	111	2000-04-21	0.98	0.785714285714
112	112	2000-04-22	0.96	0.642857142857
113	113	2000-04-23	0.95	0.571428571429
114	114	2000-04-24	0.94	0.5
115	115	2000-04-25	0.94	0.5
116	116	2000-04-26	0.95	0.571428571429
117	117	2000-04-27	0.95	0.571428571429
118	118	2000-04-28	0.95	0.571428571429
119	119	2000-04-29	0.95	0.571428571429
120	120	2000-04-30	0.95	0.571428571429
121	121	2000-05-01	0.94	0.5
122	122	2000-05-02	0.94	0.5
123	123	2000-05-03	0.95	0.571428571429
124	124	2000-05-04	0.95	0.571428571429
125	125	2000-05-05	0.94	0.5
126	126	2000-05-06	0.93	0.428571428571
127	127	2000-05-07	0.93	0.428571428571
128	128	2000-05-08	0.93	0.428571428571
129	129	2000-05-09	0.94	0.5
130	130	2000-05-10	0.96	0.642857142857
131	131	2000-05-11	0.95	0.571428571429
132	132	2000-05-12	0.95	0.571428571429
133	133	2000-05-13	0.94	0.5
134	134	2000-05-14	0.94	0.5
135	135	2000-05-15	0.95	0.571428571429
136	136	2000-05-16	0.95	0.571428571429
137	137	2000-05-17	0.95	0.571428571429
138	138	2000-05-18	0.95	0.571428571429
139	139	2000-05-19	0.95	0.571428571429
140	140	2000-05-20	0.94	0.5
141	141	2000-05-21	0.94	0.5
142	142	2000-05-22	0.93	0.428571428571
143	143	2000-05-23	0.9	0.214285714286
144	144	2000-05-24	0.89	0.142857142857
145	145	2000-05-25	0.89	0.142857142857
146	146	2000-05-26	0.89	0.142857142857
147	147	2000-05-27	0.89	0.142857142857
148	148	2000-05-28	0.91	0.285714285714
149	149	2000-05-29	0.91	0.285714285714
150	150	2000-05-30	0.9	0.214285714286
151	151	2000-05-31	0.9	0.214285714286
152	152	2000-06-01	0.89	0.142857142857
153	153	2000-06-02	0.89	0.142857142857
154	154	2000-06-03	0.89	0.142857142857
155	155	2000-06-04	0.9	0.214285714286
156	156	2000-06-05	0.89	0.142857142857
157	157	2000-06-06	0.89	0.142857142857
158	158	2000-06-07	0.9	0.214285714286
159	159	2000-06-08	0.91	0.285714285714
160	160	2000-06-09	0.92	0.357142857143
161	161	2000-06-10	0.93	0.428571428571
162	162	2000-06-11	0.93	0.428571428571
163	163	2000-06-12	0.92	0.357142857143
164	164	2000-06-13	0.92	0.357142857143
165	165	2000-06-14	0.91	0.285714285714
