,nrel_id,cooling,longitude,fuel,latitude,dischargefile
119,1488,2,-101.225,2,47.075,841_735.tsv
120,1489,1,-101.375,2,47.325,846_732.tsv
121,1490,2,-80.675,2,40.225,704_1146.tsv
122,1492,2,-84.775,2,39.125,682_1064.tsv
123,1492,1,-84.775,2,39.125,682_1064.tsv
124,1497,2,-81.925,2,40.175,703_1121.tsv
125,1500,1,-83.675,2,38.625,672_1086.tsv
126,1500,2,-83.675,2,38.625,672_1086.tsv
127,1504,1,-80.625,2,40.525,710_1147.tsv
128,1507,1,-82.125,2,38.925,678_1117.tsv
129,1510,1,-84.525,2,39.425,688_1069.tsv
130,1510,1,-84.525,5,39.425,688_1069.tsv
131,1511,2,-81.775,2,40.825,716_1124.tsv
132,1512,2,-81.225,2,41.725,734_1135.tsv
133,1514,2,-97.175,5,35.525,610_816.tsv
134,1514,5,-97.175,3,35.525,610_816.tsv
135,1515,2,-95.275,2,35.775,615_854.tsv
136,1516,2,-97.675,5,35.475,609_806.tsv
137,1517,2,-96.725,5,34.975,599_825.tsv
138,1519,2,-98.325,5,35.075,601_793.tsv
139,1520,2,-96.025,5,36.125,622_839.tsv
140,1521,2,-98.225,5,35.075,601_795.tsv
141,1521,5,-98.225,3,35.075,601_795.tsv
142,1522,2,-99.225,5,36.425,628_775.tsv
143,1523,5,-80.025,3,40.475,709_1159.tsv
144,1526,6,-77.175,3,39.875,697_1216.tsv
145,1528,1,-75.075,2,40.925,718_1258.tsv
146,1531,2,-79.125,2,40.375,707_1177.tsv
147,1533,2,-79.175,2,40.475,709_1176.tsv
148,1534,2,-79.075,2,40.375,707_1178.tsv
149,1538,2,-79.375,2,40.625,712_1172.tsv
150,1539,1,-80.375,2,40.925,718_1152.tsv
151,1541,1,-76.675,2,40.125,702_1226.tsv
152,1544,2,-75.125,5,40.775,715_1257.tsv
153,1545,2,-76.625,2,40.975,719_1227.tsv
154,1545,2,-76.625,5,40.975,719_1227.tsv
155,1546,1,-76.825,2,40.825,716_1223.tsv
156,1550,1,-75.325,5,39.825,696_1253.tsv
157,1559,5,-71.375,3,41.825,736_1332.tsv
158,1559,4,-71.375,3,41.825,736_1332.tsv
159,1561,2,-80.175,4,34.425,588_1156.tsv
160,1562,2,-82.425,5,34.575,591_1111.tsv
161,1567,4,-81.925,3,33.425,568_1121.tsv
162,1567,1,-81.925,5,33.425,568_1121.tsv
163,1567,1,-81.925,2,33.425,568_1121.tsv
164,1568,1,-80.625,2,33.825,576_1147.tsv
165,1568,2,-80.625,2,33.825,576_1147.tsv
166,1569,1,-79.925,2,33.025,560_1161.tsv
167,1573,1,-90.175,2,35.075,601_956.tsv
168,1574,1,-84.175,2,36.025,620_1076.tsv
169,1575,1,-87.675,2,36.425,628_1006.tsv
170,1576,1,-86.425,2,36.325,626_1031.tsv
171,1577,4,-82.975,3,36.375,627_1100.tsv
172,1578,1,-87.975,2,36.025,620_1000.tsv
173,1579,1,-84.525,2,35.875,617_1069.tsv
174,1585,5,-97.375,3,27.775,455_812.tsv
175,1587,5,-97.025,3,28.775,475_819.tsv
176,1589,2,-96.575,5,32.825,556_828.tsv
177,1590,2,-96.925,5,32.725,554_821.tsv
178,1593,5,-106.425,3,31.975,539_631.tsv
179,1593,2,-106.425,5,31.975,539_631.tsv
180,1594,2,-95.525,5,30.425,508_849.tsv
181,1595,2,-93.875,5,30.025,500_882.tsv
182,1596,5,-94.925,3,29.675,493_861.tsv
183,1598,2,-95.225,5,29.825,496_855.tsv
184,1602,5,-95.525,3,29.925,498_849.tsv
185,1603,2,-95.675,2,29.475,489_846.tsv
186,1603,2,-95.675,5,29.475,489_846.tsv
187,1605,2,-94.675,5,32.325,546_866.tsv
188,1606,2,-94.725,5,32.925,558_865.tsv
189,1607,2,-94.525,5,32.825,556_869.tsv
190,1608,2,-101.725,5,33.525,570_725.tsv
191,1609,2,-102.025,5,35.825,616_719.tsv
192,1610,2,-101.725,5,35.275,605_725.tsv
193,1611,2,-102.425,5,34.175,583_711.tsv
194,1615,2,-97.225,5,32.725,554_815.tsv
195,1619,2,-96.075,2,31.825,536_838.tsv
196,1622,2,-94.975,5,31.925,538_860.tsv
197,1624,2,-96.125,5,32.125,542_837.tsv
198,1636,2,-97.275,5,30.125,502_814.tsv
199,1637,2,-101.775,5,33.525,570_724.tsv
200,1641,2,-98.275,5,29.275,485_794.tsv
201,1642,2,-98.375,5,29.225,484_792.tsv
202,1646,2,-99.075,5,28.925,478_778.tsv
203,1648,2,-111.925,5,40.775,715_521.tsv
204,1649,2,-82.225,2,36.925,638_1115.tsv
205,1652,1,-78.275,5,37.725,654_1194.tsv
206,1652,1,-78.275,2,37.725,654_1194.tsv
207,1653,1,-77.375,2,37.375,647_1212.tsv
208,1653,4,-77.375,3,37.375,647_1212.tsv
209,1655,2,-77.275,5,38.475,669_1214.tsv
210,1655,4,-77.275,3,38.475,669_1214.tsv
211,1655,1,-77.275,5,38.475,669_1214.tsv
212,1656,1,-76.125,2,37.225,644_1237.tsv
213,1656,1,-76.125,5,37.225,644_1237.tsv
214,1657,5,-122.975,3,46.725,834_300.tsv
215,1657,2,-122.975,2,46.725,834_300.tsv
216,1660,2,-81.825,2,38.475,669_1123.tsv
217,1664,2,-79.975,2,39.675,693_1160.tsv
218,1665,2,-80.275,2,39.425,688_1154.tsv
219,1669,2,-80.825,2,39.825,696_1143.tsv
220,1670,2,-79.275,2,39.225,684_1174.tsv
221,1675,5,-118.425,3,34.225,584_391.tsv
222,1681,2,-89.675,2,44.825,796_966.tsv
223,1681,1,-89.675,5,44.825,796_966.tsv
224,1681,1,-89.675,2,44.825,796_966.tsv
225,1684,2,-91.225,2,43.575,771_935.tsv
226,1686,2,-105.775,2,42.825,756_644.tsv
227,1686,1,-105.775,2,42.825,756_644.tsv
228,1687,2,-110.525,2,41.775,735_549.tsv
229,1688,2,-96.125,5,33.175,563_837.tsv
230,1689,2,-84.775,2,42.025,740_1064.tsv
231,1690,2,-97.125,5,33.225,564_817.tsv
232,1696,2,-111.425,2,36.925,638_531.tsv
233,1698,2,-87.125,2,33.575,571_1017.tsv
234,1699,2,-81.275,2,39.375,687_1134.tsv
235,1700,2,-92.125,2,34.425,588_917.tsv
236,1701,2,-118.325,5,34.175,583_393.tsv
237,1702,2,-89.975,2,40.475,709_960.tsv
238,1703,2,-88.275,2,38.925,678_994.tsv
239,1704,2,-84.825,2,38.875,677_1063.tsv
240,1705,2,-84.225,2,38.875,677_1075.tsv
241,1706,2,-107.575,2,40.475,709_608.tsv
242,1708,2,-101.125,2,47.275,845_737.tsv
243,1709,2,-83.475,2,38.675,673_1090.tsv
244,1710,1,-82.475,2,42.775,755_1110.tsv
245,1711,2,-82.675,5,43.125,762_1106.tsv
246,1712,2,-83.825,2,38.725,674_1083.tsv
247,1713,2,-82.325,5,27.625,452_1113.tsv
248,1713,5,-82.325,3,27.625,452_1113.tsv
249,1714,5,-80.575,3,27.075,441_1148.tsv
250,1714,2,-80.575,5,27.075,441_1148.tsv
251,1715,2,-84.925,2,33.425,568_1061.tsv
252,1716,2,-91.375,2,30.725,514_932.tsv
253,1716,2,-91.375,5,30.725,514_932.tsv
254,1716,1,-91.375,2,30.725,514_932.tsv
255,1717,2,-89.425,2,31.225,524_971.tsv
256,1718,1,-94.675,2,39.175,683_866.tsv
257,1719,1,-94.975,2,39.425,688_860.tsv
258,1720,2,-96.125,2,39.175,683_837.tsv
259,1721,2,-85.425,2,38.575,671_1051.tsv
260,1722,2,-88.625,2,30.525,510_987.tsv
261,1722,5,-88.625,3,30.525,510_987.tsv
262,1723,2,-106.625,2,46.275,825_627.tsv
263,1724,1,-101.125,2,41.175,723_737.tsv
264,1725,5,-72.475,3,42.175,743_1310.tsv
265,1727,2,-87.025,2,41.225,724_1019.tsv
266,1728,1,-104.125,2,47.675,853_677.tsv
267,1729,2,-93.925,2,45.375,807_881.tsv
268,1731,2,-80.425,2,40.625,712_1151.tsv
269,1732,2,-97.025,2,36.475,629_819.tsv
270,1733,1,-95.775,2,40.625,712_844.tsv
271,1733,2,-95.775,2,40.625,712_844.tsv
272,1734,2,-96.475,2,45.325,806_830.tsv
273,1735,3,-105.475,2,44.275,785_650.tsv
274,1736,2,-119.775,2,45.675,813_364.tsv
275,1737,5,-104.875,3,40.225,704_662.tsv
276,1738,2,-87.825,2,38.375,667_1003.tsv
277,1739,1,-81.175,2,32.375,547_1136.tsv
278,1740,2,-96.075,2,30.625,512_838.tsv
279,1741,2,-87.725,2,37.875,657_1005.tsv
280,1742,2,-94.525,2,36.275,625_869.tsv
281,1743,2,-94.825,2,33.075,561_863.tsv
282,1744,2,-94.525,2,32.275,545_869.tsv
283,1746,1,-90.275,2,38.125,662_954.tsv
284,1748,2,-111.025,2,39.175,683_539.tsv
285,1749,2,-87.025,2,37.875,657_1019.tsv
286,1750,2,-87.875,2,42.525,750_1002.tsv
287,1751,2,-109.275,2,34.575,591_574.tsv
288,1752,2,-97.225,2,28.725,474_815.tsv
289,1753,2,-96.775,2,29.925,498_824.tsv
290,1754,2,-98.475,2,28.725,474_790.tsv
291,1755,2,-92.725,2,31.375,527_905.tsv
292,1755,2,-92.725,5,31.375,527_905.tsv
293,1756,2,-101.775,2,35.325,606_724.tsv
294,1757,2,-102.575,2,34.175,583_708.tsv
295,1758,2,-93.375,2,37.125,642_892.tsv
296,1759,2,-104.875,2,42.125,742_662.tsv
297,1761,2,-87.525,2,39.075,681_1009.tsv
298,1762,2,-96.475,5,30.725,514_830.tsv
299,1763,5,-81.625,3,29.625,492_1127.tsv
300,1764,2,-103.675,2,40.275,705_686.tsv
301,1765,2,-79.375,2,33.225,564_1172.tsv
302,1766,2,-78.875,2,36.525,630_1182.tsv
303,1767,2,-92.575,2,41.125,722_908.tsv
304,1768,2,-83.825,2,33.075,561_1083.tsv
305,1770,2,-81.975,2,38.975,679_1120.tsv
306,1771,2,-101.825,2,47.525,850_723.tsv
307,1772,2,-112.575,2,39.525,690_508.tsv
308,1773,2,-92.475,5,31.325,526_910.tsv
309,1775,2,-87.425,2,37.575,651_1011.tsv
310,1776,2,-91.425,2,35.675,613_931.tsv
311,1777,2,-97.025,2,30.575,511_819.tsv
312,1778,2,-91.075,2,41.325,726_938.tsv
313,1779,1,-87.375,2,37.925,658_1012.tsv
314,1780,2,-105.025,2,40.875,717_659.tsv
315,1781,2,-89.625,2,36.875,637_967.tsv
316,1782,2,-95.325,2,33.975,579_853.tsv
317,1783,2,-87.125,2,37.425,648_1017.tsv
318,1784,2,-96.725,2,31.075,521_825.tsv
319,1785,2,-98.325,2,29.275,485_793.tsv
320,1786,5,-75.525,3,39.675,693_1249.tsv
321,1787,2,-80.925,2,33.325,566_1141.tsv
322,1788,2,-78.675,2,36.875,637_1186.tsv
323,1789,5,-81.975,2,27.725,454_1120.tsv
324,1792,5,-94.625,3,37.075,641_867.tsv
325,1793,5,-81.875,3,27.775,455_1122.tsv
326,1794,5,-73.075,3,40.825,716_1298.tsv
327,1796,5,-119.675,3,45.875,817_366.tsv
328,1798,3,-105.375,2,44.275,785_652.tsv
329,1799,5,-98.375,3,29.275,485_792.tsv
330,1803,5,-121.425,3,38.525,670_331.tsv
331,1804,5,-121.475,3,38.525,670_330.tsv
332,1808,2,-109.675,2,40.125,702_566.tsv
333,1809,2,-94.475,2,32.475,549_870.tsv
334,1813,2,-70.775,5,43.075,761_1344.tsv
335,1814,1,-73.975,5,41.575,731_1280.tsv
336,1817,2,-89.475,2,43.475,769_970.tsv
337,1821,2,-91.125,5,33.375,567_937.tsv
338,1822,1,-90.575,5,30.025,500_948.tsv
339,1823,5,-98.325,3,34.525,590_793.tsv
340,1825,2,-109.475,2,41.575,731_570.tsv
341,1826,5,-111.775,3,33.325,566_524.tsv
342,1827,2,-111.075,2,39.375,687_538.tsv
343,1828,5,-123.175,3,46.175,823_296.tsv
344,1830,2,-82.075,2,38.975,679_1118.tsv
345,1831,2,-104.725,2,38.675,673_665.tsv
346,1832,2,-101.775,2,47.525,850_724.tsv
347,1833,2,-109.175,2,34.325,586_576.tsv
348,1834,2,-117.125,2,40.875,717_417.tsv
349,1835,1,-79.825,2,40.525,710_1163.tsv
350,1838,5,-77.425,3,37.525,650_1211.tsv
351,1870,6,-70.525,3,44.525,790_1349.tsv
352,1871,5,-104.975,3,39.675,693_660.tsv
353,1874,5,-121.525,3,36.975,639_329.tsv
354,1875,2,-75.475,2,39.775,695_1250.tsv
355,1877,5,-75.525,3,39.725,694_1249.tsv
356,1878,2,-78.825,2,40.575,711_1183.tsv
357,1880,5,-118.425,3,33.925,578_391.tsv
358,1884,5,-121.125,3,36.225,624_337.tsv
359,1886,5,-71.475,3,42.075,741_1330.tsv
360,1887,5,-74.375,3,40.475,709_1272.tsv
361,1891,5,-121.975,3,37.975,659_320.tsv
362,1892,5,-121.725,3,39.025,680_325.tsv
363,1895,2,-77.175,2,37.325,646_1216.tsv
364,1896,2,-77.975,1,33.925,578_1200.tsv
365,1897,2,-78.975,1,36.425,628_1180.tsv
366,1898,2,-77.725,2,35.975,619_1205.tsv
367,1904,2,-70.575,1,44.525,790_1348.tsv
368,1906,5,-96.575,3,28.675,473_828.tsv
369,1907,2,-75.525,2,39.625,692_1249.tsv
370,1909,5,-75.475,3,43.875,777_1250.tsv
371,1910,5,-76.225,3,43.075,761_1235.tsv
372,1911,5,-77.225,3,37.325,646_1215.tsv
373,1914,2,-94.625,2,35.175,603_867.tsv
374,1915,2,-81.625,2,30.425,508_1127.tsv
375,1920,2,-78.725,2,39.575,691_1185.tsv
376,1924,5,-73.775,3,42.475,749_1284.tsv
377,1925,5,-72.525,3,42.175,743_1309.tsv
378,1926,5,-95.075,3,29.625,492_858.tsv
379,1927,1,-79.975,2,39.625,692_1160.tsv
380,1928,5,-84.175,3,43.575,771_1076.tsv
381,1929,5,-75.125,3,39.925,698_1257.tsv
382,1930,5,-107.725,3,39.525,690_605.tsv
383,1931,5,-93.725,3,30.075,501_885.tsv
384,1936,2,-91.675,2,41.975,739_926.tsv
385,1937,2,-88.875,2,39.875,697_982.tsv
386,1939,2,-88.925,2,39.825,696_981.tsv
387,1940,5,-73.225,3,42.425,748_1295.tsv
388,1941,5,-74.225,3,40.625,712_1275.tsv
389,1945,5,-95.025,3,29.675,493_859.tsv
390,1946,5,-75.425,3,39.775,695_1251.tsv
391,1947,5,-95.575,3,33.725,574_848.tsv
392,1948,5,-97.725,3,30.275,505_805.tsv
393,1951,5,-98.575,3,33.875,577_788.tsv
394,1956,5,-90.375,3,29.925,498_952.tsv
395,1957,5,-94.825,3,29.425,488_863.tsv
