years,place,lat,lon,cooling
,1655,38.475,-77.275,1
,1656,37.225,-76.125,1
,1656,37.225,-76.125,1
,1657,46.725,-122.975,5
,1657,46.725,-122.975,2
,1660,38.475,-81.825,2
,1664,39.675,-79.975,2
,1665,39.425,-80.275,2
,1669,39.825,-80.825,2
,1670,39.225,-79.275,2
,1675,34.225,-118.425,5
,1681,44.825,-89.675,2
,1681,44.825,-89.675,1
,1681,44.825,-89.675,1
,1684,43.575,-91.225,2
,1686,42.825,-105.775,2
,1686,42.825,-105.775,1
,1687,41.775,-110.525,2
,1688,33.175,-96.125,2
,1689,42.025,-84.775,2
,1690,33.225,-97.125,2
,1696,36.925,-111.425,2
,1698,33.575,-87.125,2
,1699,39.375,-81.275,2
,1700,34.425,-92.125,2
,1701,34.175,-118.325,2
,1702,40.475,-89.975,2
,1703,38.925,-88.275,2
,1704,38.875,-84.825,2
,1705,38.875,-84.225,2
,1706,40.475,-107.575,2
,1708,47.275,-101.125,2
,1709,38.675,-83.475,2
,1710,42.775,-82.475,1
,1711,43.125,-82.675,2
,1712,38.725,-83.825,2
,1713,27.625,-82.325,2
,1713,27.625,-82.325,5
,1714,27.075,-80.575,5
,1714,27.075,-80.575,2
,1715,33.425,-84.925,2
,1716,30.725,-91.375,2
,1716,30.725,-91.375,2
,1716,30.725,-91.375,1
,1717,31.225,-89.425,2
,1718,39.175,-94.675,1
,1719,39.425,-94.975,1
,1720,39.175,-96.125,2
,1721,38.575,-85.425,2
,1722,30.525,-88.625,2
,1722,30.525,-88.625,5
,1723,46.275,-106.625,2
,1724,41.175,-101.125,1
,1725,42.175,-72.475,5
,1727,41.225,-87.025,2
,1728,47.675,-104.125,1
,1729,45.375,-93.925,2
,1731,40.625,-80.425,2
,1732,36.475,-97.025,2
,1733,40.625,-95.775,1
,1733,40.625,-95.775,2
,1734,45.325,-96.475,2
,1735,44.275,-105.475,3
,1736,45.675,-119.775,2
,1737,40.225,-104.875,5
,1738,38.375,-87.825,2
,1739,32.375,-81.175,1
,1740,30.625,-96.075,2
,1741,37.875,-87.725,2
,1742,36.275,-94.525,2
,1743,33.075,-94.825,2
,1744,32.275,-94.525,2
,1746,38.125,-90.275,1
,1748,39.175,-111.025,2
,1749,37.875,-87.025,2
,1750,42.525,-87.875,2
,1751,34.575,-109.275,2
,1752,28.725,-97.225,2
,1753,29.925,-96.775,2
,1754,28.725,-98.475,2
,1755,31.375,-92.725,2
,1755,31.375,-92.725,2
,1756,35.325,-101.775,2
,1757,34.175,-102.575,2
,1758,37.125,-93.375,2
,1759,42.125,-104.875,2
,1761,39.075,-87.525,2
,1762,30.725,-96.475,2
,1763,29.625,-81.625,5
,1764,40.275,-103.675,2
,1765,33.225,-79.375,2
,1766,36.525,-78.875,2
,1767,41.125,-92.575,2
,1768,33.075,-83.825,2
,1770,38.975,-81.975,2
,1771,47.525,-101.825,2
,1772,39.525,-112.575,2
,1773,31.325,-92.475,2
,1775,37.575,-87.425,2
,1776,35.675,-91.425,2
,1777,30.575,-97.025,2
,1778,41.325,-91.075,2
,1779,37.925,-87.375,1
,1780,40.875,-105.025,2
,1781,36.875,-89.625,2
,1782,33.975,-95.325,2
,1783,37.425,-87.125,2
,1784,31.075,-96.725,2
,1785,29.275,-98.325,2
,1786,39.675,-75.525,5
,1787,33.325,-80.925,2
,1788,36.875,-78.675,2
,1789,27.725,-81.975,5
,1792,37.075,-94.625,5
,1793,27.775,-81.875,5
,1794,40.825,-73.075,5
,1796,45.875,-119.675,5
,1798,44.275,-105.375,3
,1799,29.275,-98.375,5
,1803,38.525,-121.425,5
,1804,38.525,-121.475,5
,1808,40.125,-109.675,2
,1809,32.475,-94.475,2
,1813,43.075,-70.775,2
,1814,41.575,-73.975,1
,1817,43.475,-89.475,2
,1821,33.375,-91.125,2
,1822,30.025,-90.575,1
,1823,34.525,-98.325,5
