,place,lon,lat,cooling,fuel,state,f,c,idc
409,1985,-75.175,39.875,5,3,NJ,Gas,CC-RC,3
414,1998,-75.875,40.875,2,2,PA,Coal,ST-RC,3
415,2000,-74.325,40.475,5,3,NJ,Gas,CC-RC,3
418,2007,-74.125,40.875,5,3,NJ,Gas,CC-RC,3
420,2011,-92.325,38.925,5,3,MO,Gas,CC-RC,3
427,2021,-77.425,37.775,5,3,VA,Gas,CC-RC,3
432,2036,-75.525,39.575,1,5,DE,Oil,ST-OT,3
436,2044,-73.775,40.625,5,3,NY,Gas,CC-RC,3
441,2053,-114.875,36.225,5,3,NV,Gas,CC-RC,3
442,2054,-114.925,36.325,5,3,NV,Gas,CC-RC,3
455,2076,-74.125,40.075,5,3,NJ,Gas,CC-RC,3
460,2083,-75.225,40.025,5,3,PA,Gas,CC-RC,3
466,2089,-73.925,40.675,5,3,NY,Gas,CC-RC,3
473,2101,-73.125,41.175,5,3,CT,Gas,CC-RC,3
479,2110,-102.775,32.975,5,3,TX,Gas,CC-RC,3
496,2136,-114.125,35.075,5,3,AZ,Gas,CC-RC,3
498,2139,-88.225,41.375,5,3,IL,Gas,CC-RC,3
509,2155,-94.275,38.775,5,3,MO,Gas,CC-RC,3
517,2169,-88.325,41.425,5,3,IL,Gas,CC-RC,3
518,2170,-121.875,38.075,5,3,CA,Gas,CC-RC,3
533,2212,-121.825,38.075,5,3,CA,Gas,CC-RC,3
534,2213,-88.825,39.225,5,3,IL,Gas,CC-RC,3
535,2214,-87.525,39.375,5,3,IN,Gas,CC-RC,3
565,2263,-111.925,33.425,2,5,AZ,Oil,ST-RC,3
573,2271,-112.225,33.575,2,5,AZ,Oil,ST-RC,3
585,2305,-117.275,34.075,5,3,CA,Gas,CC-RC,3
587,2307,-88.175,41.475,2,2,IL,Coal,ST-RC,3
593,2316,-104.575,38.275,2,2,CO,Coal,ST-RC,3
600,2325,-72.075,41.425,1,5,CT,Oil,ST-OT,3
601,2327,-72.575,41.525,1,5,CT,Oil,ST-OT,3
602,2327,-72.575,41.525,2,5,CT,Oil,ST-RC,3
606,2332,-75.575,39.625,1,5,DE,Oil,ST-OT,3
607,2333,-75.225,38.575,2,2,DE,Coal,ST-RC,3
608,2334,-75.525,39.175,2,5,DE,Oil,ST-RC,3
641,2382,-89.675,40.575,1,2,IL,Coal,ST-OT,3
643,2384,-89.525,37.675,4,3,IL,Gas,CC-OT,3
645,2391,-89.425,39.625,2,2,IL,Coal,ST-RC,3
646,2393,-89.725,40.575,2,2,IL,Coal,ST-RC,3
650,2400,-90.125,40.275,2,2,IL,Coal,ST-RC,3
652,2405,-90.125,38.825,1,2,IL,Coal,ST-OT,3
653,2407,-89.575,39.725,2,2,IL,Coal,ST-RC,3
655,2411,-85.425,38.725,1,2,IN,Coal,ST-OT,3
656,2414,-86.175,39.725,1,2,IN,Coal,ST-OT,3
657,2414,-86.175,39.725,2,2,IN,Coal,ST-RC,3
658,2414,-86.175,39.725,1,5,IN,Oil,ST-OT,3
659,2415,-86.425,39.475,2,2,IN,Coal,ST-RC,3
665,2421,-87.225,38.775,4,2,IN,Coal,CC-OT,3
666,2422,-85.975,40.075,5,3,IN,Gas,CC-RC,3
667,2423,-85.825,38.275,1,2,IN,Coal,ST-OT,3
668,2424,-87.425,39.525,5,2,IN,Coal,CC-RC,3
669,2424,-87.425,39.525,1,2,IN,Coal,ST-OT,3
670,2425,-87.325,37.875,1,2,IN,Coal,ST-OT,3
672,2427,-84.925,39.775,2,2,IN,Coal,ST-RC,3
689,2446,-98.825,38.425,2,5,KS,Oil,ST-RC,3
690,2448,-97.475,37.825,2,5,KS,Oil,ST-RC,3
691,2449,-94.675,38.375,2,2,KS,Coal,ST-RC,3
692,2450,-97.325,37.575,2,5,KS,Oil,ST-RC,3
693,2452,-97.925,38.025,2,5,KS,Oil,ST-RC,3
694,2453,-95.275,39.025,2,2,KS,Coal,ST-RC,3
695,2454,-95.575,39.075,2,2,KS,Coal,ST-RC,3
697,2456,-94.625,39.075,2,5,KS,Oil,ST-RC,3
705,2466,-87.075,37.825,1,2,KY,Coal,ST-OT,3
710,72730,-74.025,40.775,2,5,NY,Oil,ST-RC,3
711,72731,-73.975,40.775,2,5,NY,Oil,ST-RC,3
713,72748,-76.375,40.375,5,3,PA,Gas,CC-RC,3
717,72775,-106.875,32.125,5,3,NM,Gas,CC-RC,3
718,72779,-121.925,37.425,5,3,CA,Gas,CC-RC,3
720,72783,-72.625,41.925,5,3,CT,Gas,CC-RC,3
724,72826,-114.875,36.425,5,3,NV,Gas,CC-RC,3
738,73098,-80.475,40.625,2,4,PA,Nuclear,ST-RC,3
739,73155,-75.325,40.625,5,3,PA,Gas,CC-RC,3
746,73309,-88.175,41.275,2,4,IL,Nuclear,ST-RC,3
757,73480,-91.775,38.675,2,4,MO,Nuclear,ST-RC,3
758,73485,-76.325,38.425,1,4,MD,Nuclear,ST-OT,3
759,73488,-78.725,40.475,2,2,PA,Coal,ST-RC,3
761,73511,-72.675,41.775,5,3,CT,Gas,CC-RC,3
769,73636,-75.375,39.825,2,2,PA,Coal,ST-RC,3
773,73702,-97.125,39.275,2,5,KS,Oil,ST-RC,3
775,73718,-88.825,40.175,2,4,IL,Nuclear,ST-RC,3
777,73721,-118.725,44.475,2,1,OR,Bio-power,ST-RC,3
785,73844,-121.125,38.325,5,3,CA,Gas,CC-RC,3
787,73855,-79.975,37.775,1,1,VA,Bio-power,ST-OT,3
790,73869,-86.925,40.025,2,2,IN,Coal,ST-RC,3
791,73881,-111.975,33.425,2,5,AZ,Oil,ST-RC,3
793,73944,-83.075,41.575,2,4,OH,Nuclear,ST-RC,3
796,73974,-119.225,35.725,2,1,CA,Bio-power,ST-RC,3
797,73982,-76.275,39.775,5,3,PA,Gas,CC-RC,3
798,74066,-81.475,40.525,1,5,OH,Oil,ST-OT,3
