,place,lat,lon,dischargefile,cooling,fuel
6,1310,30.825,-92.175,516_916.tsv,4,3
8,1313,29.925,-90.125,498_957.tsv,5,3
10,1314,32.775,-92.075,555_918.tsv,5,3
11,1317,32.525,-93.775,550_884.tsv,5,3
28,1339,42.375,-71.075,747_1338.tsv,6,3
30,1342,42.375,-71.125,747_1337.tsv,5,3
32,1349,42.225,-70.925,744_1341.tsv,5,3
33,1350,41.875,-71.075,737_1338.tsv,5,3
50,1375,44.825,-93.225,796_895.tsv,4,3
51,1376,44.925,-93.125,798_897.tsv,4,3
62,1387,31.525,-89.325,530_973.tsv,5,3
66,1389,39.125,-94.475,682_870.tsv,4,3
83,1411,36.075,-115.075,621_458.tsv,5,3
87,1415,39.575,-119.525,691_369.tsv,5,3
93,1427,40.575,-75.175,711_1256.tsv,5,3
94,1428,40.825,-74.075,716_1278.tsv,5,3
95,1432,40.625,-74.175,712_1276.tsv,5,3
109,1475,35.375,-78.025,607_1199.tsv,5,3
111,1478,34.275,-77.975,585_1200.tsv,5,3
113,1481,35.725,-80.375,614_1152.tsv,4,3
115,1483,36.475,-79.675,629_1166.tsv,4,3
134,1514,35.525,-97.175,610_816.tsv,5,3
141,1521,35.075,-98.225,601_795.tsv,5,3
143,1523,40.475,-80.025,709_1159.tsv,5,3
144,1526,39.875,-77.175,697_1216.tsv,6,3
157,1559,41.825,-71.375,736_1332.tsv,5,3
158,1559,41.825,-71.375,736_1332.tsv,4,3
161,1567,33.425,-81.925,568_1121.tsv,4,3
171,1577,36.375,-82.975,627_1100.tsv,4,3
174,1585,27.775,-97.375,455_812.tsv,5,3
175,1587,28.775,-97.025,475_819.tsv,5,3
178,1593,31.975,-106.425,539_631.tsv,5,3
182,1596,29.675,-94.925,493_861.tsv,5,3
184,1602,29.925,-95.525,498_849.tsv,5,3
208,1653,37.375,-77.375,647_1212.tsv,4,3
210,1655,38.475,-77.275,669_1214.tsv,4,3
214,1657,46.725,-122.975,834_300.tsv,5,3
221,1675,34.225,-118.425,584_391.tsv,5,3
248,1713,27.625,-82.325,452_1113.tsv,5,3
249,1714,27.075,-80.575,441_1148.tsv,5,3
261,1722,30.525,-88.625,510_987.tsv,5,3
264,1725,42.175,-72.475,743_1310.tsv,5,3
275,1737,40.225,-104.875,704_662.tsv,5,3
299,1763,29.625,-81.625,492_1127.tsv,5,3
320,1786,39.675,-75.525,693_1249.tsv,5,3
324,1792,37.075,-94.625,641_867.tsv,5,3
325,1793,27.775,-81.875,455_1122.tsv,5,3
326,1794,40.825,-73.075,716_1298.tsv,5,3
327,1796,45.875,-119.675,817_366.tsv,5,3
329,1799,29.275,-98.375,485_792.tsv,5,3
330,1803,38.525,-121.425,670_331.tsv,5,3
331,1804,38.525,-121.475,670_330.tsv,5,3
339,1823,34.525,-98.325,590_793.tsv,5,3
341,1826,33.325,-111.775,566_524.tsv,5,3
343,1828,46.175,-123.175,823_296.tsv,5,3
350,1838,37.525,-77.425,650_1211.tsv,5,3
351,1870,44.525,-70.525,790_1349.tsv,6,3
352,1871,39.675,-104.975,693_660.tsv,5,3
353,1874,36.975,-121.525,639_329.tsv,5,3
355,1877,39.725,-75.525,694_1249.tsv,5,3
357,1880,33.925,-118.425,578_391.tsv,5,3
358,1884,36.225,-121.125,624_337.tsv,5,3
359,1886,42.075,-71.475,741_1330.tsv,5,3
360,1887,40.475,-74.375,709_1272.tsv,5,3
361,1891,37.975,-121.975,659_320.tsv,5,3
362,1892,39.025,-121.725,680_325.tsv,5,3
368,1906,28.675,-96.575,473_828.tsv,5,3
370,1909,43.875,-75.475,777_1250.tsv,5,3
371,1910,43.075,-76.225,761_1235.tsv,5,3
372,1911,37.325,-77.225,646_1215.tsv,5,3
376,1924,42.475,-73.775,749_1284.tsv,5,3
377,1925,42.175,-72.525,743_1309.tsv,5,3
378,1926,29.625,-95.075,492_858.tsv,5,3
380,1928,43.575,-84.175,771_1076.tsv,5,3
381,1929,39.925,-75.125,698_1257.tsv,5,3
382,1930,39.525,-107.725,690_605.tsv,5,3
383,1931,30.075,-93.725,501_885.tsv,5,3
387,1940,42.425,-73.225,748_1295.tsv,5,3
388,1941,40.625,-74.225,712_1275.tsv,5,3
389,1945,29.675,-95.025,493_859.tsv,5,3
390,1946,39.775,-75.425,695_1251.tsv,5,3
391,1947,33.725,-95.575,574_848.tsv,5,3
392,1948,30.275,-97.725,505_805.tsv,5,3
393,1951,33.875,-98.575,577_788.tsv,5,3
394,1956,29.925,-90.375,498_952.tsv,5,3
395,1957,29.425,-94.825,488_863.tsv,5,3
398,1961,33.825,-118.225,576_395.tsv,5,3
399,1968,40.725,-74.125,714_1277.tsv,5,3
404,1973,43.225,-73.775,764_1284.tsv,5,3
405,1978,30.225,-93.275,504_894.tsv,5,3
407,1980,40.625,-74.125,712_1277.tsv,5,3
408,1983,36.475,-77.675,629_1206.tsv,5,3
409,1984,35.425,-97.625,608_807.tsv,5,3
410,1985,39.875,-75.175,697_1256.tsv,5,3
411,1987,30.075,-94.075,501_878.tsv,5,3
412,1989,40.375,-104.675,707_666.tsv,5,3
413,1990,40.075,-104.825,701_663.tsv,5,3
414,1996,43.075,-75.625,761_1247.tsv,5,3
416,2000,40.475,-74.325,709_1273.tsv,5,3
418,2004,29.775,-95.075,495_858.tsv,5,3
419,2007,40.875,-74.125,717_1277.tsv,5,3
420,2009,27.625,-81.975,452_1120.tsv,5,3
421,2011,38.925,-92.325,678_913.tsv,5,3
422,2012,29.825,-93.975,496_880.tsv,5,3
425,2015,43.075,-76.075,761_1238.tsv,5,3
426,2019,30.275,-91.175,505_936.tsv,5,3
428,2021,37.775,-77.425,655_1211.tsv,5,3
429,2024,29.375,-94.725,487_865.tsv,5,3
430,2026,28.975,-95.375,479_852.tsv,5,3
431,2030,29.375,-94.775,487_864.tsv,5,3
432,2035,32.275,-101.425,545_731.tsv,5,3
434,2039,42.625,-73.775,752_1284.tsv,5,3
437,2044,40.625,-73.775,712_1284.tsv,5,3
439,2048,48.475,-122.575,869_308.tsv,5,3
440,2049,36.025,-115.025,620_459.tsv,5,3
442,2053,36.225,-114.875,624_462.tsv,5,3
443,2054,36.325,-114.925,626_461.tsv,5,3
444,2055,27.875,-81.825,457_1123.tsv,5,3
445,2056,28.925,-81.675,478_1126.tsv,5,3
446,2057,28.375,-82.175,467_1116.tsv,5,3
447,2059,27.825,-81.875,456_1122.tsv,5,3
448,2062,48.975,-122.275,879_314.tsv,5,3
449,2064,48.825,-122.675,876_306.tsv,5,3
450,2066,43.475,-76.425,769_1231.tsv,5,3
451,2070,44.725,-73.475,794_1290.tsv,5,3
452,2071,42.625,-71.325,752_1333.tsv,5,3
453,2072,44.975,-74.875,799_1262.tsv,5,3
454,2073,42.975,-78.175,759_1196.tsv,5,3
456,2076,40.075,-74.125,701_1277.tsv,5,3
457,2078,28.075,-81.825,461_1123.tsv,5,3
458,2080,28.925,-95.375,478_852.tsv,5,3
460,2082,45.925,-119.375,818_372.tsv,5,3
461,2083,40.025,-75.225,700_1255.tsv,5,3
462,2084,42.175,-71.525,743_1329.tsv,5,3
463,2085,32.425,-97.425,548_811.tsv,5,3
464,2086,38.675,-76.875,673_1222.tsv,5,3
465,2087,38.125,-78.225,662_1195.tsv,5,3
466,2088,37.975,-122.075,659_318.tsv,5,3
467,2089,40.675,-73.925,713_1281.tsv,5,3
468,2090,43.975,-86.475,779_1030.tsv,5,3
469,2092,44.825,-92.925,796_901.tsv,5,3
470,2093,42.875,-88.725,757_985.tsv,5,3
471,2095,41.825,-71.125,736_1337.tsv,5,3
472,2099,32.475,-83.625,549_1087.tsv,5,3
473,2100,42.025,-72.675,740_1306.tsv,5,3
474,2101,41.175,-73.125,723_1297.tsv,5,3
475,2102,35.075,-81.575,601_1128.tsv,5,3
476,2103,29.725,-95.125,494_857.tsv,5,3
477,2104,41.625,-71.175,732_1336.tsv,6,3
478,2107,30.575,-95.925,511_841.tsv,5,3
479,2108,34.325,-89.925,586_961.tsv,5,3
480,2110,32.975,-102.775,559_704.tsv,5,3
481,2111,44.825,-68.725,796_1385.tsv,5,3
482,2112,34.225,-91.875,584_922.tsv,5,3
484,2114,35.775,-114.975,615_460.tsv,6,3
485,2115,42.025,-71.975,740_1320.tsv,5,3
486,2117,38.025,-122.175,660_316.tsv,5,3
487,2118,27.875,-97.275,457_814.tsv,5,3
488,2119,42.825,-85.975,756_1040.tsv,5,3
489,2120,42.275,-83.125,745_1097.tsv,5,3
490,2121,32.425,-97.075,548_818.tsv,6,3
491,2122,33.625,-95.575,572_848.tsv,5,3
492,2123,26.175,-98.375,423_792.tsv,5,3
493,2127,42.175,-121.825,743_323.tsv,5,3
494,2128,30.025,-93.725,500_885.tsv,5,3
495,2133,29.975,-93.775,499_884.tsv,5,3
496,2135,26.325,-98.225,426_795.tsv,5,3
497,2136,35.075,-114.125,601_477.tsv,5,3
498,2138,32.925,-111.825,558_523.tsv,5,3
499,2139,41.375,-88.225,727_995.tsv,5,3
500,2140,29.525,-97.875,490_802.tsv,5,3
501,2142,29.775,-97.975,495_800.tsv,6,3
502,2143,36.025,-95.925,620_841.tsv,5,3
