,place,lat,lon,fuel,cooling
6,1310,30.825,-92.175,3,4
50,1375,44.825,-93.225,3,4
51,1376,44.925,-93.125,3,4
66,1389,39.125,-94.475,3,4
113,1481,35.725,-80.375,3,4
115,1483,36.475,-79.675,3,4
158,1559,41.825,-71.375,3,4
161,1567,33.425,-81.925,3,4
171,1577,36.375,-82.975,3,4
208,1653,37.375,-77.375,3,4
210,1655,38.475,-77.275,3,4
611,2340,26.675,-81.825,3,4
634,2368,30.125,-84.225,3,4
644,2384,37.675,-89.525,3,4
666,2421,38.775,-87.225,2,4
680,2435,45.025,-93.275,3,4
863,75016,41.225,-76.075,3,4
989,76842,40.525,-122.325,3,4
1068,78220,28.875,-97.125,3,4
