,place,lat,lon,cooling
354,1875,39.775,-75.475,2
356,1878,40.575,-78.825,2
363,1895,37.325,-77.175,2
364,1896,33.925,-77.975,2
365,1897,36.425,-78.975,2
366,1898,35.975,-77.725,2
367,1904,44.525,-70.575,2
369,1907,39.625,-75.525,2
373,1914,35.175,-94.625,2
374,1915,30.425,-81.625,2
375,1920,39.575,-78.725,2
384,1936,41.975,-91.675,2
385,1937,39.875,-88.875,2
386,1939,39.825,-88.925,2
397,1960,43.075,-79.025,2
400,1970,32.075,-81.075,2
401,1970,32.075,-81.075,2
415,1998,40.875,-75.875,2
417,2002,34.125,-79.525,2
423,2013,41.225,-79.775,2
424,2014,27.025,-80.525,2
427,2020,36.625,-78.525,2
435,2040,36.425,-77.625,2
436,2041,37.475,-77.425,2
441,2050,38.225,-77.275,2
455,2074,35.575,-119.025,2
459,2081,36.375,-77.575,2
483,2113,33.375,-89.275,2
550,2243,33.625,-87.175,2
553,2245,33.225,-86.475,2
556,2248,32.025,-93.575,2
558,2250,31.475,-87.925,2
559,2251,40.825,-98.375,2
560,2252,40.575,-98.325,2
561,2253,35.425,-108.075,2
564,2261,37.975,-100.975,2
565,2262,34.925,-110.275,2
566,2263,33.425,-111.925,2
568,2266,32.725,-114.725,2
569,2267,32.175,-110.925,2
570,2267,32.175,-110.925,2
571,2268,34.075,-99.175,2
572,2269,33.375,-80.125,2
573,2270,29.775,-81.575,2
574,2271,33.575,-112.225,2
575,2272,33.375,-111.925,2
577,2273,32.075,-109.875,2
579,2274,36.175,-95.275,2
580,2275,34.725,-92.175,2
581,2277,33.375,-93.475,2
583,2281,30.375,-81.525,2
584,2289,31.425,-96.275,2
585,2298,34.075,-117.525,2
588,2307,41.475,-88.175,2
589,2308,32.775,-115.525,2
591,2312,34.125,-118.175,2
592,2315,39.825,-104.925,2
594,2316,38.275,-104.575,2
595,2317,40.025,-105.225,2
596,2318,39.725,-105.025,2
597,2319,38.825,-104.825,2
598,2320,38.875,-104.825,2
599,2321,40.525,-107.175,2
600,2322,38.225,-108.525,2
603,2327,41.525,-72.575,2
605,2328,28.475,-81.175,2
606,2330,44.475,-73.175,2
608,2333,38.575,-75.225,2
609,2334,39.175,-75.525,2
610,2335,39.175,-76.475,2
614,2345,25.425,-80.325,2
616,2345,25.425,-80.325,2
617,2346,28.925,-82.725,2
619,2351,30.575,-87.225,2
622,2358,29.775,-82.425,2
623,2358,29.775,-82.425,2
629,2365,28.075,-81.925,2
631,2365,28.075,-81.925,2
632,2367,30.475,-84.425,2
635,2371,34.175,-84.925,2
636,2372,34.225,-85.375,2
639,2376,33.475,-84.875,2
640,2376,33.475,-84.875,2
643,2383,39.075,-89.425,2
646,2391,39.625,-89.425,2
647,2393,40.575,-89.725,2
650,2399,38.225,-89.875,2
651,2400,40.275,-90.125,2
654,2407,39.725,-89.575,2
655,2409,37.625,-88.975,2
658,2414,39.725,-86.175,2
660,2415,39.475,-86.425,2
662,2416,38.525,-87.275,2
663,2417,41.675,-87.125,2
664,2419,41.725,-86.925,2
673,2427,39.775,-84.925,2
677,2431,41.775,-90.225,2
679,2434,42.025,-92.825,2
681,2436,41.175,-95.875,2
685,2439,42.025,-93.575,2
688,2444,37.175,-100.775,2
689,2445,37.725,-99.975,2
690,2446,38.425,-98.825,2
691,2448,37.825,-97.475,2
692,2449,38.375,-94.675,2
693,2450,37.575,-97.325,2
694,2452,38.025,-97.925,2
695,2453,39.025,-95.275,2
696,2454,39.075,-95.575,2
697,2455,37.075,-95.625,2
698,2456,39.075,-94.625,2
700,2458,37.975,-100.875,2
701,2459,38.125,-82.625,2
702,2460,37.775,-84.725,2
703,2461,38.775,-85.025,2
705,2465,38.075,-85.925,2
707,2467,37.275,-86.975,2
709,2469,37.925,-86.775,2
710,72728,41.725,-87.425,2
711,72730,40.775,-74.025,2
712,72731,40.775,-73.975,2
720,72780,30.225,-93.125,2
722,72793,31.575,-87.525,2
723,72813,35.375,-106.475,2
726,72862,37.125,-79.275,2
728,72929,35.275,-93.225,2
730,72938,46.775,-67.825,2
737,73085,46.625,-68.425,2
738,73093,44.425,-70.175,2
739,73098,40.625,-80.475,2
742,73195,42.475,-122.875,2
743,73215,44.025,-75.775,2
745,73271,36.125,-97.075,2
746,73276,45.175,-70.425,2
747,73309,41.275,-88.175,2
750,73332,43.625,-71.725,2
752,73384,44.575,-68.825,2
753,73408,40.975,-121.625,2
754,73422,42.075,-89.325,2
756,73458,44.275,-85.425,2
758,73480,38.675,-91.775,2
760,73488,40.475,-78.725,2
770,73636,39.825,-75.375,2
774,73702,39.275,-97.125,2
775,73716,41.825,-90.175,2
776,73718,40.175,-88.825,2
777,73720,42.925,-123.325,2
778,73721,44.475,-118.725,2
780,73761,45.975,-106.625,2
782,73770,33.425,-88.425,2
783,73772,32.275,-97.775,2
790,73867,35.125,-77.075,2
791,73869,40.025,-86.925,2
792,73881,33.425,-111.975,2
794,73944,41.575,-83.075,2
795,73950,30.825,-93.225,2
797,73974,35.725,-119.225,2
801,74075,41.375,-88.275,2
803,74091,42.125,-91.775,2
805,74132,43.175,-95.275,2
806,74134,37.225,-97.025,2
808,74166,33.875,-80.625,2
809,74169,40.475,-78.775,2
810,74182,31.925,-82.325,2
812,74205,34.625,-78.575,2
817,74306,40.775,-124.175,2
820,74349,41.975,-83.175,2
828,74475,43.825,-91.275,2
832,74509,42.675,-83.275,2
834,74573,43.075,-83.675,2
838,74674,32.025,-91.075,2
839,74690,39.525,-80.075,2
840,74695,44.575,-84.675,2
843,74761,40.275,-120.275,2
844,74763,37.675,-87.425,2
847,74819,35.575,-78.975,2
849,74871,41.675,-87.425,2
850,74886,43.425,-72.075,2
851,74888,33.525,-90.225,2
852,74906,47.425,-92.925,2
853,74906,47.425,-92.925,2
856,74936,45.075,-83.875,2
857,74939,47.425,-97.025,2
858,74984,39.475,-75.525,2
859,74986,37.325,-77.275,2
861,75003,40.475,-122.275,2
862,75004,40.675,-73.975,2
866,75061,44.725,-67.525,2
869,75068,45.225,-68.625,2
874,75123,33.575,-101.775,2
875,75127,29.325,-98.325,2
879,75148,43.525,-76.375,2
881,75157,38.425,-86.925,2
884,75180,40.775,-76.225,2
885,75187,46.775,-88.475,2
887,75205,31.225,-85.125,2
888,75258,34.975,-77.975,2
890,75292,48.625,-118.125,2
893,75345,40.875,-75.975,2
894,75378,41.325,-88.675,2
896,75426,38.125,-102.625,2
898,75494,40.175,-75.525,2
905,75628,43.625,-75.325,2
909,75722,39.125,-93.225,2
910,75722,39.125,-93.225,2
912,75775,32.175,-85.025,2
913,75780,33.575,-116.125,2
914,75796,36.775,-120.375,2
916,75819,32.925,-115.525,2
919,75877,43.025,-87.975,2
920,75878,32.575,-93.275,2
921,75882,40.325,-80.625,2
