,place,lat,lon,fuel,cooling
28,1339,42.375,-71.075,3,6
144,1526,39.875,-77.175,3,6
351,1870,44.525,-70.525,3,6
477,2104,41.625,-71.175,3,6
484,2114,35.775,-114.975,3,6
490,2121,32.425,-97.075,3,6
501,2142,29.775,-97.975,3,6
503,2145,41.875,-71.925,3,6
517,2168,42.075,-71.525,3,6
716,72752,42.125,-71.475,3,6
727,72914,36.425,-114.975,3,6
731,72951,40.775,-73.875,3,6
732,72955,42.275,-73.825,3,6
741,73184,35.625,-115.375,3,6
769,73622,46.625,-122.925,3,6
830,74486,38.625,-104.725,3,6
837,74637,45.825,-120.825,3,6
923,75909,36.375,-114.925,3,6
991,76857,33.275,-89.425,3,6
1058,78044,36.425,-114.925,3,6
1110,606380,39.825,-111.875,3,6
1146,883352,32.775,-103.325,3,6
