,Unnamed: 0,Unnamed: 0.1,place,cooling,lon,fuel,lat,state,dischargefile,f,c
72,72,148,1534,2,-79.075,2,40.375,PA,707_1178.tsv,Coal,ST-RC
73,73,149,1538,2,-79.375,2,40.625,PA,712_1172.tsv,Coal,ST-RC
74,74,150,1539,1,-80.375,2,40.925,PA,718_1152.tsv,Coal,ST-OT
75,75,151,1541,1,-76.675,2,40.125,PA,702_1226.tsv,Coal,ST-OT
76,76,153,1545,2,-76.625,2,40.975,PA,719_1227.tsv,Coal,ST-RC
77,77,155,1546,1,-76.825,2,40.825,PA,716_1223.tsv,Coal,ST-OT
78,78,163,1567,1,-81.925,2,33.425,SC,568_1121.tsv,Coal,ST-OT
79,79,164,1568,1,-80.625,2,33.825,SC,576_1147.tsv,Coal,ST-OT
80,80,165,1568,2,-80.625,2,33.825,SC,576_1147.tsv,Coal,ST-RC
81,81,166,1569,1,-79.925,2,33.025,SC,560_1161.tsv,Coal,ST-OT
82,82,167,1573,1,-90.175,2,35.075,TN,601_956.tsv,Coal,ST-OT
83,83,168,1574,1,-84.175,2,36.025,TN,620_1076.tsv,Coal,ST-OT
84,84,169,1575,1,-87.675,2,36.425,TN,628_1006.tsv,Coal,ST-OT
85,85,170,1576,1,-86.425,2,36.325,TN,626_1031.tsv,Coal,ST-OT
86,86,172,1578,1,-87.975,2,36.025,TN,620_1000.tsv,Coal,ST-OT
87,87,173,1579,1,-84.525,2,35.875,TN,617_1069.tsv,Coal,ST-OT
88,88,185,1603,2,-95.675,2,29.475,TX,489_846.tsv,Coal,ST-RC
89,89,195,1619,2,-96.075,2,31.825,TX,536_838.tsv,Coal,ST-RC
90,90,204,1649,2,-82.225,2,36.925,VA,638_1115.tsv,Coal,ST-RC
91,91,206,1652,1,-78.275,2,37.725,VA,654_1194.tsv,Coal,ST-OT
92,92,207,1653,1,-77.375,2,37.375,VA,647_1212.tsv,Coal,ST-OT
93,93,212,1656,1,-76.125,2,37.225,VA,644_1237.tsv,Coal,ST-OT
94,94,215,1657,2,-122.975,2,46.725,WA,834_300.tsv,Coal,ST-RC
95,95,216,1660,2,-81.825,2,38.475,WV,669_1123.tsv,Coal,ST-RC
96,96,217,1664,2,-79.975,2,39.675,WV,693_1160.tsv,Coal,ST-RC
97,97,218,1665,2,-80.275,2,39.425,WV,688_1154.tsv,Coal,ST-RC
98,98,219,1669,2,-80.825,2,39.825,WV,696_1143.tsv,Coal,ST-RC
99,99,220,1670,2,-79.275,2,39.225,WV,684_1174.tsv,Coal,ST-RC
100,100,222,1681,2,-89.675,2,44.825,WI,796_966.tsv,Coal,ST-RC
101,101,224,1681,1,-89.675,2,44.825,WI,796_966.tsv,Coal,ST-OT
102,102,225,1684,2,-91.225,2,43.575,WI,771_935.tsv,Coal,ST-RC
103,103,226,1686,2,-105.775,2,42.825,WY,756_644.tsv,Coal,ST-RC
104,104,227,1686,1,-105.775,2,42.825,WY,756_644.tsv,Coal,ST-OT
105,105,228,1687,2,-110.525,2,41.775,WY,735_549.tsv,Coal,ST-RC
106,106,230,1689,2,-84.775,2,42.025,MI,740_1064.tsv,Coal,ST-RC
107,107,232,1696,2,-111.425,2,36.925,AZ,638_531.tsv,Coal,ST-RC
108,108,233,1698,2,-87.125,2,33.575,AL,571_1017.tsv,Coal,ST-RC
109,109,234,1699,2,-81.275,2,39.375,WV,687_1134.tsv,Coal,ST-RC
110,110,235,1700,2,-92.125,2,34.425,AR,588_917.tsv,Coal,ST-RC
111,111,237,1702,2,-89.975,2,40.475,IL,709_960.tsv,Coal,ST-RC
112,112,238,1703,2,-88.275,2,38.925,IL,678_994.tsv,Coal,ST-RC
113,113,239,1704,2,-84.825,2,38.875,KY,677_1063.tsv,Coal,ST-RC
114,114,240,1705,2,-84.225,2,38.875,OH,677_1075.tsv,Coal,ST-RC
115,115,241,1706,2,-107.575,2,40.475,CO,709_608.tsv,Coal,ST-RC
116,116,242,1708,2,-101.125,2,47.275,ND,845_737.tsv,Coal,ST-RC
117,117,243,1709,2,-83.475,2,38.675,OH,673_1090.tsv,Coal,ST-RC
118,118,244,1710,1,-82.475,2,42.775,MI,755_1110.tsv,Coal,ST-OT
119,119,246,1712,2,-83.825,2,38.725,KY,674_1083.tsv,Coal,ST-RC
120,120,251,1715,2,-84.925,2,33.425,GA,568_1061.tsv,Coal,ST-RC
121,121,252,1716,2,-91.375,2,30.725,LA,514_932.tsv,Coal,ST-RC
122,122,254,1716,1,-91.375,2,30.725,LA,514_932.tsv,Coal,ST-OT
123,123,255,1717,2,-89.425,2,31.225,MS,524_971.tsv,Coal,ST-RC
124,124,256,1718,1,-94.675,2,39.175,KS,683_866.tsv,Coal,ST-OT
125,125,257,1719,1,-94.975,2,39.425,MO,688_860.tsv,Coal,ST-OT
126,126,258,1720,2,-96.125,2,39.175,KS,683_837.tsv,Coal,ST-RC
127,127,259,1721,2,-85.425,2,38.575,KY,671_1051.tsv,Coal,ST-RC
128,128,260,1722,2,-88.625,2,30.525,MS,510_987.tsv,Coal,ST-RC
129,129,262,1723,2,-106.625,2,46.275,MT,825_627.tsv,Coal,ST-RC
130,130,263,1724,1,-101.125,2,41.175,NE,723_737.tsv,Coal,ST-OT
131,131,265,1727,2,-87.025,2,41.225,IN,724_1019.tsv,Coal,ST-RC
132,132,266,1728,1,-104.125,2,47.675,MT,853_677.tsv,Coal,ST-OT
133,133,267,1729,2,-93.925,2,45.375,MN,807_881.tsv,Coal,ST-RC
134,134,268,1731,2,-80.425,2,40.625,PA,712_1151.tsv,Coal,ST-RC
135,135,269,1732,2,-97.025,2,36.475,OK,629_819.tsv,Coal,ST-RC
136,136,270,1733,1,-95.775,2,40.625,NE,712_844.tsv,Coal,ST-OT
137,137,271,1733,2,-95.775,2,40.625,NE,712_844.tsv,Coal,ST-RC
138,138,272,1734,2,-96.475,2,45.325,SD,806_830.tsv,Coal,ST-RC
139,139,273,1735,3,-105.475,2,44.275,WY,785_650.tsv,Coal,ST-DC
140,140,274,1736,2,-119.775,2,45.675,OR,813_364.tsv,Coal,ST-RC
141,141,276,1738,2,-87.825,2,38.375,IN,667_1003.tsv,Coal,ST-RC
142,142,277,1739,1,-81.175,2,32.375,GA,547_1136.tsv,Coal,ST-OT
143,143,278,1740,2,-96.075,2,30.625,TX,512_838.tsv,Coal,ST-RC
144,144,279,1741,2,-87.725,2,37.875,IN,657_1005.tsv,Coal,ST-RC
145,145,280,1742,2,-94.525,2,36.275,AR,625_869.tsv,Coal,ST-RC
146,146,281,1743,2,-94.825,2,33.075,TX,561_863.tsv,Coal,ST-RC
147,147,282,1744,2,-94.525,2,32.275,TX,545_869.tsv,Coal,ST-RC
148,148,283,1746,1,-90.275,2,38.125,MO,662_954.tsv,Coal,ST-OT
149,149,284,1748,2,-111.025,2,39.175,UT,683_539.tsv,Coal,ST-RC
150,150,285,1749,2,-87.025,2,37.875,IN,657_1019.tsv,Coal,ST-RC
151,151,286,1750,2,-87.875,2,42.525,WI,750_1002.tsv,Coal,ST-RC
152,152,287,1751,2,-109.275,2,34.575,AZ,591_574.tsv,Coal,ST-RC
153,153,288,1752,2,-97.225,2,28.725,TX,474_815.tsv,Coal,ST-RC
154,154,289,1753,2,-96.775,2,29.925,TX,498_824.tsv,Coal,ST-RC
155,155,290,1754,2,-98.475,2,28.725,TX,474_790.tsv,Coal,ST-RC
156,156,291,1755,2,-92.725,2,31.375,LA,527_905.tsv,Coal,ST-RC
157,157,293,1756,2,-101.775,2,35.325,TX,606_724.tsv,Coal,ST-RC
158,158,294,1757,2,-102.575,2,34.175,TX,583_708.tsv,Coal,ST-RC
159,159,295,1758,2,-93.375,2,37.125,MO,642_892.tsv,Coal,ST-RC
160,160,296,1759,2,-104.875,2,42.125,WY,742_662.tsv,Coal,ST-RC
161,161,297,1761,2,-87.525,2,39.075,IN,681_1009.tsv,Coal,ST-RC
162,162,300,1764,2,-103.675,2,40.275,CO,705_686.tsv,Coal,ST-RC
163,163,301,1765,2,-79.375,2,33.225,SC,564_1172.tsv,Coal,ST-RC
164,164,302,1766,2,-78.875,2,36.525,NC,630_1182.tsv,Coal,ST-RC
165,165,303,1767,2,-92.575,2,41.125,IA,722_908.tsv,Coal,ST-RC
166,166,304,1768,2,-83.825,2,33.075,GA,561_1083.tsv,Coal,ST-RC
167,167,305,1770,2,-81.975,2,38.975,WV,679_1120.tsv,Coal,ST-RC
168,168,306,1771,2,-101.825,2,47.525,ND,850_723.tsv,Coal,ST-RC
169,169,307,1772,2,-112.575,2,39.525,UT,690_508.tsv,Coal,ST-RC
170,170,309,1775,2,-87.425,2,37.575,KY,651_1011.tsv,Coal,ST-RC
171,171,310,1776,2,-91.425,2,35.675,AR,613_931.tsv,Coal,ST-RC
172,172,311,1777,2,-97.025,2,30.575,TX,511_819.tsv,Coal,ST-RC
173,173,312,1778,2,-91.075,2,41.325,IA,726_938.tsv,Coal,ST-RC
174,174,313,1779,1,-87.375,2,37.925,IN,658_1012.tsv,Coal,ST-OT
175,175,314,1780,2,-105.025,2,40.875,CO,717_659.tsv,Coal,ST-RC
176,176,315,1781,2,-89.625,2,36.875,MO,637_967.tsv,Coal,ST-RC
177,177,316,1782,2,-95.325,2,33.975,OK,579_853.tsv,Coal,ST-RC
178,178,317,1783,2,-87.125,2,37.425,KY,648_1017.tsv,Coal,ST-RC
179,179,318,1784,2,-96.725,2,31.075,TX,521_825.tsv,Coal,ST-RC
180,180,319,1785,2,-98.325,2,29.275,TX,485_793.tsv,Coal,ST-RC
181,181,321,1787,2,-80.925,2,33.325,SC,566_1141.tsv,Coal,ST-RC
182,182,322,1788,2,-78.675,2,36.875,VA,637_1186.tsv,Coal,ST-RC
