,Unnamed: 0,place,lat,lon,fuel,dischargefile,cooling,f,c
79,211,1655,38.475,-77.275,5,669_1214.tsv,1,,
80,213,1656,37.225,-76.125,5,644_1237.tsv,1,,
81,223,1681,44.825,-89.675,5,796_966.tsv,1,,
82,229,1688,33.175,-96.125,5,563_837.tsv,2,,
83,231,1690,33.225,-97.125,5,564_817.tsv,2,,
84,236,1701,34.175,-118.325,5,583_393.tsv,2,,
85,245,1711,43.125,-82.675,5,762_1106.tsv,2,,
86,247,1713,27.625,-82.325,5,452_1113.tsv,2,,
87,250,1714,27.075,-80.575,5,441_1148.tsv,2,,
88,253,1716,30.725,-91.375,5,514_932.tsv,2,,
89,292,1755,31.375,-92.725,5,527_905.tsv,2,,
90,298,1762,30.725,-96.475,5,514_830.tsv,2,,
91,308,1773,31.325,-92.475,5,526_910.tsv,2,,
92,334,1813,43.075,-70.775,5,761_1344.tsv,2,,
93,335,1814,41.575,-73.975,5,731_1280.tsv,1,,
94,337,1821,33.375,-91.125,5,567_937.tsv,2,,
95,338,1822,30.025,-90.575,5,500_948.tsv,1,,
96,433,2036,39.575,-75.525,5,691_1249.tsv,1,,
97,548,2242,33.975,-85.975,5,579_1040.tsv,1,,
98,552,2245,33.225,-86.475,5,564_1030.tsv,1,,
99,562,2257,29.825,-91.525,5,496_929.tsv,1,,
100,566,2263,33.425,-111.925,5,568_521.tsv,2,,
101,568,2266,32.725,-114.725,5,554_465.tsv,2,,
102,570,2267,32.175,-110.925,5,543_541.tsv,2,,
103,574,2271,33.575,-112.225,5,571_515.tsv,2,,
104,575,2272,33.375,-111.925,5,567_521.tsv,2,,
105,580,2275,34.725,-92.175,5,594_916.tsv,2,,
106,581,2277,33.375,-93.475,5,567_890.tsv,2,,
107,582,2278,34.425,-92.925,5,588_901.tsv,1,,
108,585,2298,34.075,-117.525,5,581_409.tsv,2,,
109,589,2308,32.775,-115.525,5,555_449.tsv,2,,
110,591,2312,34.125,-118.175,5,582_396.tsv,2,,
111,596,2318,39.725,-105.025,5,694_659.tsv,2,,
112,598,2320,38.875,-104.825,5,677_663.tsv,2,,
113,601,2325,41.425,-72.075,5,728_1318.tsv,1,,
114,602,2327,41.525,-72.575,5,730_1308.tsv,1,,
115,603,2327,41.525,-72.575,5,730_1308.tsv,2,,
116,607,2332,39.625,-75.575,5,692_1248.tsv,1,,
117,609,2334,39.175,-75.525,5,683_1249.tsv,2,,
118,616,2345,25.425,-80.325,5,408_1153.tsv,2,,
119,618,2350,30.375,-83.175,5,507_1096.tsv,1,,
120,622,2358,29.775,-82.425,5,495_1111.tsv,2,,
121,625,2361,30.375,-81.425,5,507_1131.tsv,1,,
122,629,2365,28.075,-81.925,5,461_1121.tsv,2,,
123,632,2367,30.475,-84.425,5,509_1071.tsv,2,,
