,place,lat,lon,fuel,dischargefile,cooling
246,1712,38.725,-83.825,2,674_1083.tsv,2
251,1715,33.425,-84.925,2,568_1061.tsv,2
252,1716,30.725,-91.375,2,514_932.tsv,2
254,1716,30.725,-91.375,2,514_932.tsv,1
255,1717,31.225,-89.425,2,524_971.tsv,2
256,1718,39.175,-94.675,2,683_866.tsv,1
257,1719,39.425,-94.975,2,688_860.tsv,1
258,1720,39.175,-96.125,2,683_837.tsv,2
259,1721,38.575,-85.425,2,671_1051.tsv,2
260,1722,30.525,-88.625,2,510_987.tsv,2
262,1723,46.275,-106.625,2,825_627.tsv,2
263,1724,41.175,-101.125,2,723_737.tsv,1
265,1727,41.225,-87.025,2,724_1019.tsv,2
266,1728,47.675,-104.125,2,853_677.tsv,1
267,1729,45.375,-93.925,2,807_881.tsv,2
268,1731,40.625,-80.425,2,712_1151.tsv,2
269,1732,36.475,-97.025,2,629_819.tsv,2
270,1733,40.625,-95.775,2,712_844.tsv,1
271,1733,40.625,-95.775,2,712_844.tsv,2
272,1734,45.325,-96.475,2,806_830.tsv,2
273,1735,44.275,-105.475,2,785_650.tsv,3
274,1736,45.675,-119.775,2,813_364.tsv,2
276,1738,38.375,-87.825,2,667_1003.tsv,2
277,1739,32.375,-81.175,2,547_1136.tsv,1
278,1740,30.625,-96.075,2,512_838.tsv,2
279,1741,37.875,-87.725,2,657_1005.tsv,2
280,1742,36.275,-94.525,2,625_869.tsv,2
281,1743,33.075,-94.825,2,561_863.tsv,2
282,1744,32.275,-94.525,2,545_869.tsv,2
283,1746,38.125,-90.275,2,662_954.tsv,1
284,1748,39.175,-111.025,2,683_539.tsv,2
285,1749,37.875,-87.025,2,657_1019.tsv,2
286,1750,42.525,-87.875,2,750_1002.tsv,2
287,1751,34.575,-109.275,2,591_574.tsv,2
288,1752,28.725,-97.225,2,474_815.tsv,2
289,1753,29.925,-96.775,2,498_824.tsv,2
290,1754,28.725,-98.475,2,474_790.tsv,2
291,1755,31.375,-92.725,2,527_905.tsv,2
293,1756,35.325,-101.775,2,606_724.tsv,2
294,1757,34.175,-102.575,2,583_708.tsv,2
295,1758,37.125,-93.375,2,642_892.tsv,2
296,1759,42.125,-104.875,2,742_662.tsv,2
297,1761,39.075,-87.525,2,681_1009.tsv,2
300,1764,40.275,-103.675,2,705_686.tsv,2
301,1765,33.225,-79.375,2,564_1172.tsv,2
302,1766,36.525,-78.875,2,630_1182.tsv,2
303,1767,41.125,-92.575,2,722_908.tsv,2
304,1768,33.075,-83.825,2,561_1083.tsv,2
305,1770,38.975,-81.975,2,679_1120.tsv,2
306,1771,47.525,-101.825,2,850_723.tsv,2
307,1772,39.525,-112.575,2,690_508.tsv,2
309,1775,37.575,-87.425,2,651_1011.tsv,2
310,1776,35.675,-91.425,2,613_931.tsv,2
311,1777,30.575,-97.025,2,511_819.tsv,2
312,1778,41.325,-91.075,2,726_938.tsv,2
313,1779,37.925,-87.375,2,658_1012.tsv,1
314,1780,40.875,-105.025,2,717_659.tsv,2
315,1781,36.875,-89.625,2,637_967.tsv,2
316,1782,33.975,-95.325,2,579_853.tsv,2
317,1783,37.425,-87.125,2,648_1017.tsv,2
318,1784,31.075,-96.725,2,521_825.tsv,2
319,1785,29.275,-98.325,2,485_793.tsv,2
321,1787,33.325,-80.925,2,566_1141.tsv,2
322,1788,36.875,-78.675,2,637_1186.tsv,2
323,1789,27.725,-81.975,2,454_1120.tsv,5
328,1798,44.275,-105.375,2,785_652.tsv,3
332,1808,40.125,-109.675,2,702_566.tsv,2
333,1809,32.475,-94.475,2,549_870.tsv,2
336,1817,43.475,-89.475,2,769_970.tsv,2
340,1825,41.575,-109.475,2,731_570.tsv,2
342,1827,39.375,-111.075,2,687_538.tsv,2
344,1830,38.975,-82.075,2,679_1118.tsv,2
345,1831,38.675,-104.725,2,673_665.tsv,2
346,1832,47.525,-101.775,2,850_724.tsv,2
347,1833,34.325,-109.175,2,586_576.tsv,2
348,1834,40.875,-117.125,2,717_417.tsv,2
349,1835,40.525,-79.825,2,710_1163.tsv,1
354,1875,39.775,-75.475,2,695_1250.tsv,2
356,1878,40.575,-78.825,2,711_1183.tsv,2
363,1895,37.325,-77.175,2,646_1216.tsv,2
366,1898,35.975,-77.725,2,619_1205.tsv,2
369,1907,39.625,-75.525,2,692_1249.tsv,2
373,1914,35.175,-94.625,2,603_867.tsv,2
374,1915,30.425,-81.625,2,508_1127.tsv,2
375,1920,39.575,-78.725,2,691_1185.tsv,2
379,1927,39.625,-79.975,2,692_1160.tsv,1
384,1936,41.975,-91.675,2,739_926.tsv,2
385,1937,39.875,-88.875,2,697_982.tsv,2
386,1939,39.825,-88.925,2,696_981.tsv,2
401,1970,32.075,-81.075,2,541_1138.tsv,2
402,1971,30.725,-88.025,2,514_999.tsv,1
406,1979,39.775,-80.875,2,695_1142.tsv,1
415,1998,40.875,-75.875,2,717_1242.tsv,2
423,2013,41.225,-79.775,2,724_1164.tsv,2
424,2014,27.025,-80.525,2,440_1149.tsv,2
427,2020,36.625,-78.525,2,632_1189.tsv,2
435,2040,36.425,-77.625,2,628_1207.tsv,2
436,2041,37.475,-77.425,2,649_1211.tsv,2
441,2050,38.225,-77.275,2,664_1214.tsv,2
459,2081,36.375,-77.575,2,627_1208.tsv,2
483,2113,33.375,-89.275,2,567_974.tsv,2
545,2240,30.975,-87.975,2,519_1000.tsv,1
547,2242,33.975,-85.975,2,579_1040.tsv,1
549,2243,33.625,-87.175,2,572_1016.tsv,1
550,2243,33.625,-87.175,2,572_1016.tsv,2
551,2244,32.575,-87.775,2,551_1004.tsv,1
553,2245,33.225,-86.475,2,564_1030.tsv,2
554,2245,33.225,-86.475,2,564_1030.tsv,1
555,2246,34.775,-87.825,2,595_1003.tsv,1
556,2248,32.025,-93.575,2,540_888.tsv,2
557,2250,31.475,-87.925,2,529_1001.tsv,1
558,2250,31.475,-87.925,2,529_1001.tsv,2
559,2251,40.825,-98.375,2,716_792.tsv,2
560,2252,40.575,-98.325,2,711_793.tsv,2
561,2253,35.425,-108.075,2,608_598.tsv,2
564,2261,37.975,-100.975,2,659_740.tsv,2
565,2262,34.925,-110.275,2,598_554.tsv,2
569,2267,32.175,-110.925,2,543_541.tsv,2
571,2268,34.075,-99.175,2,581_776.tsv,2
572,2269,33.375,-80.125,2,567_1157.tsv,2
573,2270,29.775,-81.575,2,495_1128.tsv,2
577,2273,32.075,-109.875,2,541_562.tsv,2
579,2274,36.175,-95.275,2,623_854.tsv,2
583,2281,30.375,-81.525,2,507_1129.tsv,2
584,2289,31.425,-96.275,2,528_834.tsv,2
588,2307,41.475,-88.175,2,729_996.tsv,2
592,2315,39.825,-104.925,2,696_661.tsv,2
594,2316,38.275,-104.575,2,665_668.tsv,2
595,2317,40.025,-105.225,2,700_655.tsv,2
597,2319,38.825,-104.825,2,676_663.tsv,2
599,2321,40.525,-107.175,2,710_616.tsv,2
600,2322,38.225,-108.525,2,664_589.tsv,2
605,2328,28.475,-81.175,2,469_1136.tsv,2
608,2333,38.575,-75.225,2,671_1255.tsv,2
610,2335,39.175,-76.475,2,683_1230.tsv,2
617,2346,28.925,-82.725,2,478_1105.tsv,2
619,2351,30.575,-87.225,2,511_1015.tsv,2
620,2351,30.575,-87.225,2,511_1015.tsv,1
623,2358,29.775,-82.425,2,495_1111.tsv,2
626,2361,30.375,-81.425,2,507_1131.tsv,1
631,2365,28.075,-81.925,2,461_1121.tsv,2
635,2371,34.175,-84.925,2,583_1061.tsv,2
636,2372,34.225,-85.375,2,584_1052.tsv,2
637,2372,34.225,-85.375,2,584_1052.tsv,1
638,2375,31.425,-84.175,2,528_1076.tsv,1
639,2376,33.475,-84.875,2,569_1062.tsv,2
641,2378,41.525,-90.475,2,730_950.tsv,1
642,2382,40.575,-89.675,2,711_966.tsv,1
643,2383,39.075,-89.425,2,681_971.tsv,2
645,2390,41.525,-88.125,2,730_997.tsv,1
646,2391,39.625,-89.425,2,692_971.tsv,2
647,2393,40.575,-89.725,2,711_965.tsv,2
648,2396,41.625,-88.075,2,732_998.tsv,1
649,2398,37.225,-88.875,2,644_982.tsv,1
650,2399,38.225,-89.875,2,664_962.tsv,2
651,2400,40.275,-90.125,2,705_957.tsv,2
652,2401,41.275,-89.325,2,725_973.tsv,1
653,2405,38.825,-90.125,2,676_957.tsv,1
654,2407,39.725,-89.575,2,694_968.tsv,2
655,2409,37.625,-88.975,2,652_980.tsv,2
656,2411,38.725,-85.425,2,674_1051.tsv,1
657,2414,39.725,-86.175,2,694_1036.tsv,1
658,2414,39.725,-86.175,2,694_1036.tsv,2
660,2415,39.475,-86.425,2,689_1031.tsv,2
661,2416,38.525,-87.275,2,670_1014.tsv,1
662,2416,38.525,-87.275,2,670_1014.tsv,2
663,2417,41.675,-87.125,2,733_1017.tsv,2
664,2419,41.725,-86.925,2,734_1021.tsv,2
665,2420,39.925,-87.425,2,698_1011.tsv,1
666,2421,38.775,-87.225,2,675_1015.tsv,4
668,2423,38.275,-85.825,2,665_1043.tsv,1
669,2424,39.525,-87.425,2,690_1011.tsv,5
670,2424,39.525,-87.425,2,690_1011.tsv,1
671,2425,37.875,-87.325,2,657_1013.tsv,1
673,2427,39.775,-84.925,2,695_1061.tsv,2
674,2429,42.525,-90.625,2,750_947.tsv,1
676,2430,43.325,-91.175,2,766_936.tsv,1
678,2433,41.975,-91.625,2,739_927.tsv,1
681,2436,41.175,-95.875,2,723_842.tsv,2
682,2436,41.175,-95.875,2,723_842.tsv,1
683,2437,42.325,-96.375,2,746_832.tsv,1
684,2438,40.775,-91.125,2,715_937.tsv,1
685,2439,42.025,-93.575,2,740_888.tsv,2
686,2440,42.525,-92.425,2,750_911.tsv,1
692,2449,38.375,-94.675,2,667_866.tsv,2
695,2453,39.025,-95.275,2,680_854.tsv,2
696,2454,39.075,-95.575,2,681_848.tsv,2
699,2457,39.125,-94.625,2,682_867.tsv,1
701,2459,38.125,-82.625,2,662_1107.tsv,2
702,2460,37.775,-84.725,2,655_1065.tsv,2
703,2461,38.775,-85.025,2,675_1059.tsv,2
705,2465,38.075,-85.925,2,661_1041.tsv,2
706,2466,37.825,-87.075,2,656_1018.tsv,1
707,2467,37.275,-86.975,2,645_1020.tsv,2
708,2468,37.175,-88.775,2,643_984.tsv,1
709,2469,37.925,-86.775,2,658_1024.tsv,2
760,73488,40.475,-78.725,2,709_1185.tsv,2
770,73636,39.825,-75.375,2,696_1252.tsv,2
775,73716,41.825,-90.175,2,736_956.tsv,2
779,73740,32.825,-79.925,2,556_1161.tsv,1
780,73761,45.975,-106.625,2,819_627.tsv,2
791,73869,40.025,-86.925,2,700_1021.tsv,2
800,74066,40.525,-81.475,2,710_1130.tsv,1
805,74132,43.175,-95.275,2,763_854.tsv,2
809,74169,40.475,-78.775,2,709_1184.tsv,2
812,74205,34.625,-78.575,2,592_1188.tsv,2
832,74509,42.675,-83.275,2,753_1094.tsv,2
839,74690,39.525,-80.075,2,690_1158.tsv,2
844,74763,37.675,-87.425,2,653_1011.tsv,2
853,74906,47.425,-92.925,2,848_901.tsv,2
857,74939,47.425,-97.025,2,848_819.tsv,2
875,75127,29.325,-98.325,2,486_793.tsv,2
881,75157,38.425,-86.925,2,668_1021.tsv,2
884,75180,40.775,-76.225,2,715_1235.tsv,2
886,75189,44.275,-91.925,2,785_921.tsv,1
893,75345,40.875,-75.975,2,717_1240.tsv,2
896,75426,38.125,-102.625,2,662_707.tsv,2
910,75722,39.125,-93.225,2,682_895.tsv,2
919,75877,43.025,-87.975,2,760_1000.tsv,2
927,75997,40.825,-76.425,2,716_1231.tsv,2
933,76102,42.275,-96.375,2,745_832.tsv,1
940,76240,36.425,-95.675,2,628_846.tsv,2
943,76243,40.675,-75.475,2,713_1250.tsv,2
964,76542,39.775,-86.175,2,695_1036.tsv,2
969,76629,31.875,-83.925,2,537_1081.tsv,2
976,76681,30.625,-91.275,2,512_934.tsv,2
979,76732,38.275,-89.675,2,665_966.tsv,2
982,76790,37.625,-87.475,2,652_1010.tsv,2
995,76901,35.775,-119.075,2,615_378.tsv,2
1003,77002,45.825,-108.475,2,816_590.tsv,3
1010,77093,45.175,-95.025,2,803_859.tsv,2
1014,77131,46.775,-89.575,2,835_968.tsv,2
1016,77141,40.775,-76.175,2,715_1236.tsv,2
1018,77148,40.625,-76.375,2,712_1232.tsv,2
1026,77328,44.275,-105.425,2,785_651.tsv,3
1034,77565,37.175,-104.525,2,643_669.tsv,2
1036,77570,39.775,-105.175,2,695_656.tsv,2
1049,77757,39.525,-110.425,2,690_551.tsv,2
1052,77860,40.825,-76.175,2,716_1236.tsv,2
1076,385617,46.275,-96.025,2,825_839.tsv,2
1095,587961,44.325,-105.375,2,786_652.tsv,3
1096,587988,45.775,-107.575,2,815_608.tsv,2
1102,588046,39.725,-79.925,2,694_1161.tsv,2
1107,588238,35.675,-89.925,2,613_961.tsv,2
1117,613310,36.875,-82.325,2,637_1113.tsv,2
1119,613335,31.475,-96.975,2,529_820.tsv,2
1120,613373,40.675,-116.525,2,713_429.tsv,2
1126,650972,42.875,-87.875,2,757_1002.tsv,2
1130,735714,44.425,-105.475,2,788_650.tsv,2
1132,746556,40.725,-112.225,2,714_515.tsv,2
1134,751356,28.625,-96.575,2,472_828.tsv,2
1135,820019,31.175,-96.475,2,523_830.tsv,2
1136,826582,30.575,-97.075,2,511_818.tsv,2
1137,840309,44.275,-105.275,2,785_654.tsv,2
1143,874697,33.625,-93.825,2,572_883.tsv,2
1147,883620,32.625,-88.775,2,552_984.tsv,5
1157,1127605,39.125,-94.575,2,682_868.tsv,2
1169,1358974,41.375,-97.275,2,727_814.tsv,2
