,Unnamed: 0,Unnamed: 0.1,place,cooling,lon,fuel,lat,state,dischargefile,f,c
0,0,105,1450,1,-73.975,4,41.325,NY,726_1280.tsv,Nuclear,ST-OT
1,1,159,1561,2,-80.175,4,34.425,SC,588_1156.tsv,Nuclear,ST-RC
2,2,614,2345,2,-80.325,4,25.425,FL,408_1153.tsv,Nuclear,ST-RC
3,3,728,72929,2,-93.225,4,35.275,AR,605_895.tsv,Nuclear,ST-RC
4,4,739,73098,2,-80.475,4,40.625,PA,712_1150.tsv,Nuclear,ST-RC
5,5,747,73309,2,-88.175,4,41.275,IL,725_996.tsv,Nuclear,ST-RC
6,6,751,73358,1,-87.125,4,34.725,AL,594_1017.tsv,Nuclear,ST-OT
7,7,754,73422,2,-89.325,4,42.075,IL,741_973.tsv,Nuclear,ST-RC
8,8,758,73480,2,-91.775,4,38.675,MO,673_924.tsv,Nuclear,ST-RC
9,9,759,73485,1,-76.325,4,38.425,MD,668_1233.tsv,Nuclear,ST-OT
10,10,776,73718,2,-88.825,4,40.175,IL,703_983.tsv,Nuclear,ST-RC
11,11,783,73772,2,-97.775,4,32.275,TX,545_804.tsv,Nuclear,ST-RC
12,12,785,73813,1,-95.675,4,40.375,NE,707_846.tsv,Nuclear,ST-OT
13,13,794,73944,2,-83.075,4,41.575,OH,731_1098.tsv,Nuclear,ST-RC
14,14,801,74075,2,-88.275,4,41.375,IL,727_994.tsv,Nuclear,ST-RC
15,15,803,74091,2,-91.775,4,42.125,IA,742_924.tsv,Nuclear,ST-RC
16,16,810,74182,2,-82.325,4,31.925,GA,538_1113.tsv,Nuclear,ST-RC
17,17,820,74349,2,-83.175,4,41.975,MI,739_1096.tsv,Nuclear,ST-RC
18,18,824,74417,1,-96.075,4,41.525,NE,730_838.tsv,Nuclear,ST-OT
19,19,838,74674,2,-91.075,4,32.025,MS,540_938.tsv,Nuclear,ST-RC
20,20,847,74819,2,-78.975,4,35.575,NC,611_1180.tsv,Nuclear,ST-RC
21,21,858,74984,2,-75.525,4,39.475,NJ,689_1249.tsv,Nuclear,ST-RC
22,22,871,75075,1,-73.975,4,41.275,NY,725_1280.tsv,Nuclear,ST-OT
23,23,879,75148,2,-76.375,4,43.525,NY,770_1232.tsv,Nuclear,ST-RC
24,24,887,75205,2,-85.125,4,31.225,AL,524_1057.tsv,Nuclear,ST-RC
25,25,894,75378,2,-88.675,4,41.325,IL,726_986.tsv,Nuclear,ST-RC
26,26,898,75494,2,-75.525,4,40.175,PA,703_1249.tsv,Nuclear,ST-RC
27,27,925,75962,2,-93.875,4,45.325,MN,806_882.tsv,Nuclear,ST-RC
28,28,938,76186,2,-76.425,4,43.525,NY,770_1231.tsv,Nuclear,ST-RC
29,29,957,76440,2,-86.325,4,42.325,MI,746_1033.tsv,Nuclear,ST-RC
30,30,958,76444,2,-112.825,4,33.375,AZ,567_503.tsv,Nuclear,ST-RC
31,31,962,76505,1,-76.225,4,39.725,PA,694_1235.tsv,Nuclear,ST-OT
32,32,963,76541,2,-81.125,4,41.825,OH,736_1137.tsv,Nuclear,ST-RC
33,33,978,76730,1,-92.625,4,44.625,MN,792_907.tsv,Nuclear,ST-OT
34,34,981,76780,1,-90.325,4,41.725,IL,734_953.tsv,Nuclear,ST-OT
35,35,998,76915,2,-91.425,4,30.725,LA,514_931.tsv,Nuclear,ST-RC
36,36,1008,77052,2,-95.725,4,38.175,KS,663_845.tsv,Nuclear,ST-RC
37,37,1020,77243,2,-84.775,4,35.625,TN,612_1064.tsv,Nuclear,ST-RC
38,38,1021,77255,1,-90.475,4,30.025,LA,500_950.tsv,Nuclear,ST-OT
39,39,1027,77331,2,-119.275,4,46.475,WA,829_374.tsv,Nuclear,ST-RC
40,40,1028,77351,2,-81.775,4,33.175,GA,563_1124.tsv,Nuclear,ST-RC
41,41,1040,77627,2,-76.725,4,40.175,PA,703_1225.tsv,Nuclear,ST-RC
42,42,1047,77747,2,-76.125,4,41.075,PA,721_1237.tsv,Nuclear,ST-RC
43,43,1048,77749,1,-76.675,4,37.175,VA,643_1226.tsv,Nuclear,ST-OT
44,44,1050,77769,2,-81.325,4,34.275,SC,585_1133.tsv,Nuclear,ST-RC
45,45,1056,77938,2,-96.025,4,28.825,TX,476_839.tsv,Nuclear,ST-RC
46,46,1063,78118,2,-85.075,4,35.275,TN,605_1058.tsv,Nuclear,ST-RC
47,47,1070,78246,2,-75.525,4,39.425,NJ,688_1249.tsv,Nuclear,ST-RC
