,nrel_id,cooling,longitude,fuel,latitude,dischargefile
622,2358,2,-82.425,5,29.775,495_1111.tsv
625,2361,1,-81.425,5,30.375,507_1131.tsv
629,2365,2,-81.925,5,28.075,461_1121.tsv
632,2367,2,-84.425,5,30.475,509_1071.tsv
640,2376,2,-84.875,5,33.475,569_1062.tsv
659,2414,1,-86.175,5,39.725,694_1036.tsv
675,2429,1,-90.625,5,42.525,750_947.tsv
677,2431,2,-90.225,5,41.775,735_955.tsv
679,2434,2,-92.825,5,42.025,740_903.tsv
688,2444,2,-100.775,5,37.175,643_744.tsv
689,2445,2,-99.975,5,37.725,654_760.tsv
690,2446,2,-98.825,5,38.425,668_783.tsv
691,2448,2,-97.475,5,37.825,656_810.tsv
693,2450,2,-97.325,5,37.575,651_813.tsv
694,2452,2,-97.925,5,38.025,660_801.tsv
697,2455,2,-95.625,5,37.075,641_847.tsv
698,2456,2,-94.625,5,39.075,681_867.tsv
700,2458,2,-100.875,5,37.975,659_742.tsv
710,72728,2,-87.425,5,41.725,734_1011.tsv
711,72730,2,-74.025,5,40.775,715_1279.tsv
712,72731,2,-73.975,5,40.775,715_1280.tsv
723,72813,2,-106.475,5,35.375,607_630.tsv
734,73009,1,-91.375,5,35.275,605_932.tsv
745,73271,2,-97.075,5,36.125,622_818.tsv
752,73384,2,-68.825,5,44.575,791_1383.tsv
763,73519,1,-67.975,5,46.825,836_1400.tsv
774,73702,2,-97.125,5,39.275,685_817.tsv
792,73881,2,-111.975,5,33.425,568_520.tsv
799,74066,1,-81.475,5,40.525,710_1130.tsv
806,74134,2,-97.025,5,37.225,644_819.tsv
816,74298,1,-97.175,5,40.175,703_816.tsv
849,74871,2,-87.425,5,41.675,733_1011.tsv
851,74888,2,-90.225,5,33.525,570_955.tsv
862,75004,2,-73.975,5,40.675,713_1280.tsv
874,75123,2,-101.775,5,33.575,571_724.tsv
909,75722,2,-93.225,5,39.125,682_895.tsv
911,75751,1,-92.775,5,33.525,570_904.tsv
920,75878,2,-93.275,5,32.575,551_894.tsv
921,75882,2,-80.625,5,40.325,706_1147.tsv
934,76147,2,-94.475,5,44.325,786_870.tsv
935,76147,1,-94.475,5,44.325,786_870.tsv
939,76239,2,-92.975,5,43.675,773_900.tsv
941,76240,2,-95.675,5,36.425,628_846.tsv
965,76542,2,-86.175,5,39.775,695_1036.tsv
972,76663,2,-97.025,5,36.625,632_819.tsv
980,76734,2,-98.725,5,37.625,652_785.tsv
1004,77005,2,-90.375,5,32.925,558_952.tsv
1011,77093,2,-95.025,5,45.175,803_859.tsv
1012,77105,2,-90.575,5,34.175,583_948.tsv
1015,77131,2,-89.575,5,46.775,835_968.tsv
1017,77144,2,-122.975,5,44.075,781_300.tsv
1019,77218,2,-97.425,5,37.275,645_811.tsv
1060,78060,2,-97.525,5,25.875,417_809.tsv
1064,78151,2,-75.175,5,39.975,699_1256.tsv
1067,78220,1,-97.125,5,28.875,477_817.tsv
1077,385643,2,-91.175,5,30.475,509_936.tsv
1109,594170,2,-76.925,5,38.975,679_1221.tsv
1113,607176,2,-78.825,5,38.425,668_1183.tsv
1127,676259,1,-82.875,5,38.625,672_1102.tsv
1144,875399,2,-90.175,5,38.625,672_956.tsv
1153,913505,2,-83.425,5,41.725,734_1091.tsv
1159,1134407,2,-115.425,5,35.825,616_451.tsv
1165,1181091,2,-90.225,5,38.725,674_955.tsv
1168,1319175,2,-101.725,5,46.825,836_725.tsv
1174,1584122,2,-90.925,5,30.125,502_941.tsv
1177,1651571,2,-76.975,5,39.025,680_1220.tsv
1178,1680849,2,-87.475,5,41.675,733_1010.tsv
1179,1744511,2,-82.075,5,27.875,457_1118.tsv
