,place,lon,lat,cooling,fuel,state,f,c,idc
375,1924,-73.775,42.475,5,3,NY,Gas,CC-RC,1
376,1925,-72.525,42.175,5,3,MA,Gas,CC-RC,1
378,1927,-79.975,39.625,1,2,WV,Coal,ST-OT,1
379,1928,-84.175,43.575,5,3,MI,Gas,CC-RC,1
383,1936,-91.675,41.975,2,2,IA,Coal,ST-RC,1
386,1940,-73.225,42.425,5,3,MA,Gas,CC-RC,1
396,1960,-79.025,43.075,2,1,NY,Bio-power,ST-RC,1
403,1973,-73.775,43.225,5,3,NY,Gas,CC-RC,1
411,1989,-104.675,40.375,5,3,CO,Gas,CC-RC,1
413,1996,-75.625,43.075,5,3,NY,Gas,CC-RC,1
414,1998,-75.875,40.875,2,2,PA,Coal,ST-RC,1
422,2013,-79.775,41.225,2,2,PA,Coal,ST-RC,1
424,2015,-76.075,43.075,5,3,NY,Gas,CC-RC,1
433,2039,-73.775,42.625,5,3,NY,Gas,CC-RC,1
449,2066,-76.425,43.475,5,3,NY,Gas,CC-RC,1
450,2070,-73.475,44.725,5,3,NY,Gas,CC-RC,1
451,2071,-71.325,42.625,5,3,MA,Gas,CC-RC,1
452,2072,-74.875,44.975,5,3,NY,Gas,CC-RC,1
453,2073,-78.175,42.975,5,3,NY,Gas,CC-RC,1
454,2074,-119.025,35.575,2,1,CA,Bio-power,ST-RC,1
459,2082,-119.375,45.925,5,3,OR,Gas,CC-RC,1
461,2084,-71.525,42.175,5,3,MA,Gas,CC-RC,1
465,2088,-122.075,37.975,5,3,CA,Gas,CC-RC,1
467,2090,-86.475,43.975,5,3,MI,Gas,CC-RC,1
468,2092,-92.925,44.825,5,3,MN,Gas,CC-RC,1
469,2093,-88.725,42.875,5,3,WI,Gas,CC-RC,1
470,2095,-71.125,41.825,5,3,MA,Gas,CC-RC,1
472,2100,-72.675,42.025,5,3,MA,Gas,CC-RC,1
473,2101,-73.125,41.175,5,3,CT,Gas,CC-RC,1
484,2115,-71.975,42.025,5,3,MA,Gas,CC-RC,1
485,2117,-122.175,38.025,5,3,CA,Gas,CC-RC,1
487,2119,-85.975,42.825,5,3,MI,Gas,CC-RC,1
488,2120,-83.125,42.275,5,3,MI,Gas,CC-RC,1
498,2139,-88.225,41.375,5,3,IL,Gas,CC-RC,1
503,2147,-119.575,35.275,5,3,CA,Gas,CC-RC,1
511,2158,-119.575,35.225,5,3,CA,Gas,CC-RC,1
513,2160,-90.275,41.725,5,3,IL,Gas,CC-RC,1
