,place,lon,lat,cooling,fuel,state,f,c,idc
95,1433,-74.725,40.175,1,2,NJ,Coal,ST-OT,1
96,1436,-108.475,36.725,2,2,NM,Coal,ST-RC,1
97,1437,-106.575,31.825,2,5,NM,Oil,ST-RC,5
98,1439,-103.325,32.725,2,5,NM,Oil,ST-RC,3
99,1441,-106.625,35.175,2,5,NM,Oil,ST-RC,4
100,1442,-108.425,36.725,2,2,NM,Coal,ST-RC,1
101,1444,-103.375,32.725,2,5,NM,Oil,ST-RC,5
102,1445,-73.975,41.625,1,2,NY,Coal,ST-OT,5
103,1445,-73.975,41.625,1,5,NY,Oil,ST-OT,5
104,1450,-73.975,41.325,1,4,NY,Nuclear,ST-OT,1
105,1467,-73.925,41.225,1,5,NY,Oil,ST-OT,1
106,1471,-79.225,42.125,2,5,NY,Oil,ST-RC,1
107,1472,-82.575,35.475,2,2,NC,Coal,ST-RC,3
108,1475,-78.025,35.375,5,3,NC,Gas,CC-RC,2
109,1477,-79.075,36.475,2,2,NC,Coal,ST-RC,3
110,1478,-77.975,34.275,5,3,NC,Gas,CC-RC,6
111,1480,-81.025,35.175,2,2,NC,Coal,ST-RC,6
112,1481,-80.375,35.725,4,3,NC,Gas,CC-OT,2
113,1482,-81.775,35.225,2,2,NC,Coal,ST-RC,2
114,1483,-79.675,36.475,4,3,NC,Gas,CC-OT,0
115,1486,-100.875,46.875,2,2,ND,Coal,ST-RC,4
116,1487,-101.325,47.275,2,2,ND,Coal,ST-RC,4
117,1487,-101.325,47.275,1,2,ND,Coal,ST-OT,4
118,1488,-101.225,47.075,2,2,ND,Coal,ST-RC,4
119,1489,-101.375,47.325,1,2,ND,Coal,ST-OT,4
120,1490,-80.675,40.225,2,2,OH,Coal,ST-RC,5
121,1492,-84.775,39.125,2,2,OH,Coal,ST-RC,3
122,1492,-84.775,39.125,1,2,OH,Coal,ST-OT,3
123,1497,-81.925,40.175,2,2,OH,Coal,ST-RC,5
124,1500,-83.675,38.625,1,2,OH,Coal,ST-OT,3
125,1500,-83.675,38.625,2,2,OH,Coal,ST-RC,3
126,1504,-80.625,40.525,1,2,OH,Coal,ST-OT,1
127,1507,-82.125,38.925,1,2,OH,Coal,ST-OT,5
128,1510,-84.525,39.425,1,2,OH,Coal,ST-OT,5
129,1510,-84.525,39.425,1,5,OH,Oil,ST-OT,5
130,1511,-81.775,40.825,2,2,OH,Coal,ST-RC,5
131,1512,-81.225,41.725,2,2,OH,Coal,ST-RC,5
132,1514,-97.175,35.525,2,5,OK,Oil,ST-RC,2
133,1514,-97.175,35.525,5,3,OK,Gas,CC-RC,2
134,1515,-95.275,35.775,2,2,OK,Coal,ST-RC,6
135,1516,-97.675,35.475,2,5,OK,Oil,ST-RC,3
136,1517,-96.725,34.975,2,5,OK,Oil,ST-RC,6
137,1519,-98.325,35.075,2,5,OK,Oil,ST-RC,6
138,1520,-96.025,36.125,2,5,OK,Oil,ST-RC,2
139,1521,-98.225,35.075,2,5,OK,Oil,ST-RC,6
140,1521,-98.225,35.075,5,3,OK,Gas,CC-RC,6
141,1522,-99.225,36.425,2,5,OK,Oil,ST-RC,5
142,1523,-80.025,40.475,5,3,PA,Gas,CC-RC,5
143,1526,-77.175,39.875,6,3,PA,Gas,CC-DC,8
144,1528,-75.075,40.925,1,2,PA,Coal,ST-OT,1
145,1531,-79.125,40.375,2,2,PA,Coal,ST-RC,2
146,1533,-79.175,40.475,2,2,PA,Coal,ST-RC,2
147,1534,-79.075,40.375,2,2,PA,Coal,ST-RC,1
148,1538,-79.375,40.625,2,2,PA,Coal,ST-RC,2
149,1539,-80.375,40.925,1,2,PA,Coal,ST-OT,2
150,1541,-76.675,40.125,1,2,PA,Coal,ST-OT,1
151,1544,-75.125,40.775,2,5,PA,Oil,ST-RC,5
152,1545,-76.625,40.975,2,2,PA,Coal,ST-RC,5
153,1545,-76.625,40.975,2,5,PA,Oil,ST-RC,5
154,1546,-76.825,40.825,1,2,PA,Coal,ST-OT,5
155,1550,-75.325,39.825,1,5,PA,Oil,ST-OT,5
156,1559,-71.375,41.825,5,3,RI,Gas,CC-RC,1
157,1559,-71.375,41.825,4,3,RI,Gas,CC-OT,1
158,1561,-80.175,34.425,2,4,SC,Nuclear,ST-RC,6
159,1562,-82.425,34.575,2,5,SC,Oil,ST-RC,6
160,1567,-81.925,33.425,4,3,SC,Gas,CC-OT,6
161,1567,-81.925,33.425,1,5,SC,Oil,ST-OT,6
162,1567,-81.925,33.425,1,2,SC,Coal,ST-OT,6
163,1568,-80.625,33.825,1,2,SC,Coal,ST-OT,6
164,1568,-80.625,33.825,2,2,SC,Coal,ST-RC,6
165,1569,-79.925,33.025,1,2,SC,Coal,ST-OT,0
166,1573,-90.175,35.075,1,2,TN,Coal,ST-OT,3
167,1574,-84.175,36.025,1,2,TN,Coal,ST-OT,0
168,1575,-87.675,36.425,1,2,TN,Coal,ST-OT,2
169,1576,-86.425,36.325,1,2,TN,Coal,ST-OT,2
170,1577,-82.975,36.375,4,3,TN,Gas,CC-OT,6
171,1578,-87.975,36.025,1,2,TN,Coal,ST-OT,3
172,1579,-84.525,35.875,1,2,TN,Coal,ST-OT,0
173,1585,-97.375,27.775,5,3,TX,Gas,CC-RC,7
174,1587,-97.025,28.775,5,3,TX,Gas,CC-RC,7
175,1589,-96.575,32.825,2,5,TX,Oil,ST-RC,6
176,1590,-96.925,32.725,2,5,TX,Oil,ST-RC,6
177,1593,-106.425,31.975,5,3,TX,Gas,CC-RC,5
178,1593,-106.425,31.975,2,5,TX,Oil,ST-RC,5
179,1594,-95.525,30.425,2,5,TX,Oil,ST-RC,0
180,1595,-93.875,30.025,2,5,TX,Oil,ST-RC,0
181,1596,-94.925,29.675,5,3,TX,Gas,CC-RC,0
182,1598,-95.225,29.825,2,5,TX,Oil,ST-RC,0
183,1602,-95.525,29.925,5,3,TX,Gas,CC-RC,0
184,1603,-95.675,29.475,2,2,TX,Coal,ST-RC,0
185,1603,-95.675,29.475,2,5,TX,Oil,ST-RC,0
186,1605,-94.675,32.325,2,5,TX,Oil,ST-RC,6
187,1606,-94.725,32.925,2,5,TX,Oil,ST-RC,6
188,1607,-94.525,32.825,2,5,TX,Oil,ST-RC,6
189,1608,-101.725,33.525,2,5,TX,Oil,ST-RC,5
190,1609,-102.025,35.825,2,5,TX,Oil,ST-RC,1
191,1610,-101.725,35.275,2,5,TX,Oil,ST-RC,5
192,1611,-102.425,34.175,2,5,TX,Oil,ST-RC,5
193,1615,-97.225,32.725,2,5,TX,Oil,ST-RC,6
194,1619,-96.075,31.825,2,2,TX,Coal,ST-RC,0
195,1622,-94.975,31.925,2,5,TX,Oil,ST-RC,0
196,1624,-96.125,32.125,2,5,TX,Oil,ST-RC,6
197,1636,-97.275,30.125,2,5,TX,Oil,ST-RC,0
198,1637,-101.775,33.525,2,5,TX,Oil,ST-RC,5
199,1641,-98.275,29.275,2,5,TX,Oil,ST-RC,0
200,1642,-98.375,29.225,2,5,TX,Oil,ST-RC,0
201,1646,-99.075,28.925,2,5,TX,Oil,ST-RC,0
202,1648,-111.925,40.775,2,5,UT,Oil,ST-RC,4
203,1649,-82.225,36.925,2,2,VA,Coal,ST-RC,2
204,1652,-78.275,37.725,1,5,VA,Oil,ST-OT,2
205,1652,-78.275,37.725,1,2,VA,Coal,ST-OT,2
206,1653,-77.375,37.375,1,2,VA,Coal,ST-OT,2
207,1653,-77.375,37.375,4,3,VA,Gas,CC-OT,2
208,1655,-77.275,38.475,2,5,VA,Oil,ST-RC,2
209,1655,-77.275,38.475,4,3,VA,Gas,CC-OT,2
210,1655,-77.275,38.475,1,5,VA,Oil,ST-OT,2
211,1656,-76.125,37.225,1,2,VA,Coal,ST-OT,3
212,1656,-76.125,37.225,1,5,VA,Oil,ST-OT,3
213,1657,-122.975,46.725,5,3,WA,Gas,CC-RC,1
214,1657,-122.975,46.725,2,2,WA,Coal,ST-RC,1
215,1660,-81.825,38.475,2,2,WV,Coal,ST-RC,3
216,1664,-79.975,39.675,2,2,WV,Coal,ST-RC,5
217,1665,-80.275,39.425,2,2,WV,Coal,ST-RC,2
218,1669,-80.825,39.825,2,2,WV,Coal,ST-RC,5
219,1670,-79.275,39.225,2,2,WV,Coal,ST-RC,1
220,1675,-118.425,34.225,5,3,CA,Gas,CC-RC,5
221,1681,-89.675,44.825,2,2,WI,Coal,ST-RC,4
222,1681,-89.675,44.825,1,5,WI,Oil,ST-OT,4
223,1681,-89.675,44.825,1,2,WI,Coal,ST-OT,4
224,1684,-91.225,43.575,2,2,WI,Coal,ST-RC,1
225,1686,-105.775,42.825,2,2,WY,Coal,ST-RC,2
226,1686,-105.775,42.825,1,2,WY,Coal,ST-OT,2
227,1687,-110.525,41.775,2,2,WY,Coal,ST-RC,8
228,1688,-96.125,33.175,2,5,TX,Oil,ST-RC,6
229,1689,-84.775,42.025,2,2,MI,Coal,ST-RC,1
230,1690,-97.125,33.225,2,5,TX,Oil,ST-RC,6
231,1696,-111.425,36.925,2,2,AZ,Coal,ST-RC,4
232,1698,-87.125,33.575,2,2,AL,Coal,ST-RC,8
233,1699,-81.275,39.375,2,2,WV,Coal,ST-RC,5
234,1700,-92.125,34.425,2,2,AR,Coal,ST-RC,6
235,1701,-118.325,34.175,2,5,CA,Oil,ST-RC,5
236,1702,-89.975,40.475,2,2,IL,Coal,ST-RC,5
237,1703,-88.275,38.925,2,2,IL,Coal,ST-RC,3
238,1704,-84.825,38.875,2,2,KY,Coal,ST-RC,3
239,1705,-84.225,38.875,2,2,OH,Coal,ST-RC,3
240,1706,-107.575,40.475,2,2,CO,Coal,ST-RC,4
241,1708,-101.125,47.275,2,2,ND,Coal,ST-RC,4
242,1709,-83.475,38.675,2,2,OH,Coal,ST-RC,3
243,1710,-82.475,42.775,1,2,MI,Coal,ST-OT,1
244,1711,-82.675,43.125,2,5,MI,Oil,ST-RC,1
245,1712,-83.825,38.725,2,2,KY,Coal,ST-RC,3
246,1713,-82.325,27.625,2,5,FL,Oil,ST-RC,7
247,1713,-82.325,27.625,5,3,FL,Gas,CC-RC,7
248,1714,-80.575,27.075,5,3,FL,Gas,CC-RC,7
249,1714,-80.575,27.075,2,5,FL,Oil,ST-RC,7
250,1715,-84.925,33.425,2,2,GA,Coal,ST-RC,2
251,1716,-91.375,30.725,2,2,LA,Coal,ST-RC,6
252,1716,-91.375,30.725,2,5,LA,Oil,ST-RC,6
253,1716,-91.375,30.725,1,2,LA,Coal,ST-OT,6
254,1717,-89.425,31.225,2,2,MS,Coal,ST-RC,0
255,1718,-94.675,39.175,1,2,KS,Coal,ST-OT,4
256,1719,-94.975,39.425,1,2,MO,Coal,ST-OT,4
257,1720,-96.125,39.175,2,2,KS,Coal,ST-RC,5
258,1721,-85.425,38.575,2,2,KY,Coal,ST-RC,3
259,1722,-88.625,30.525,2,2,MS,Coal,ST-RC,0
260,1722,-88.625,30.525,5,3,MS,Gas,CC-RC,0
261,1723,-106.625,46.275,2,2,MT,Coal,ST-RC,1
262,1724,-101.125,41.175,1,2,NE,Coal,ST-OT,3
263,1725,-72.475,42.175,5,3,MA,Gas,CC-RC,5
264,1727,-87.025,41.225,2,2,IN,Coal,ST-RC,5
265,1728,-104.125,47.675,1,2,MT,Coal,ST-OT,1
266,1729,-93.925,45.375,2,2,MN,Coal,ST-RC,1
267,1731,-80.425,40.625,2,2,PA,Coal,ST-RC,5
268,1732,-97.025,36.475,2,2,OK,Coal,ST-RC,3
269,1733,-95.775,40.625,1,2,NE,Coal,ST-OT,1
270,1733,-95.775,40.625,2,2,NE,Coal,ST-RC,1
271,1734,-96.475,45.325,2,2,SD,Coal,ST-RC,4
272,1735,-105.475,44.275,3,2,WY,Coal,ST-DC,2
273,1736,-119.775,45.675,2,2,OR,Coal,ST-RC,1
274,1737,-104.875,40.225,5,3,CO,Gas,CC-RC,1
275,1738,-87.825,38.375,2,2,IN,Coal,ST-RC,3
276,1739,-81.175,32.375,1,2,GA,Coal,ST-OT,2
277,1740,-96.075,30.625,2,2,TX,Coal,ST-RC,0
278,1741,-87.725,37.875,2,2,IN,Coal,ST-RC,3
279,1742,-94.525,36.275,2,2,AR,Coal,ST-RC,3
280,1743,-94.825,33.075,2,2,TX,Coal,ST-RC,6
281,1744,-94.525,32.275,2,2,TX,Coal,ST-RC,6
282,1746,-90.275,38.125,1,2,MO,Coal,ST-OT,5
283,1748,-111.025,39.175,2,2,UT,Coal,ST-RC,4
284,1749,-87.025,37.875,2,2,IN,Coal,ST-RC,3
285,1750,-87.875,42.525,2,2,WI,Coal,ST-RC,1
286,1751,-109.275,34.575,2,2,AZ,Coal,ST-RC,4
287,1752,-97.225,28.725,2,2,TX,Coal,ST-RC,7
288,1753,-96.775,29.925,2,2,TX,Coal,ST-RC,0
289,1754,-98.475,28.725,2,2,TX,Coal,ST-RC,0
290,1755,-92.725,31.375,2,2,LA,Coal,ST-RC,0
291,1755,-92.725,31.375,2,5,LA,Oil,ST-RC,0
292,1756,-101.775,35.325,2,2,TX,Coal,ST-RC,5
293,1757,-102.575,34.175,2,2,TX,Coal,ST-RC,5
294,1758,-93.375,37.125,2,2,MO,Coal,ST-RC,3
295,1759,-104.875,42.125,2,2,WY,Coal,ST-RC,1
296,1761,-87.525,39.075,2,2,IN,Coal,ST-RC,3
297,1762,-96.475,30.725,2,5,TX,Oil,ST-RC,0
298,1763,-81.625,29.625,5,3,FL,Gas,CC-RC,0
299,1764,-103.675,40.275,2,2,CO,Coal,ST-RC,1
300,1765,-79.375,33.225,2,2,SC,Coal,ST-RC,0
301,1766,-78.875,36.525,2,2,NC,Coal,ST-RC,3
302,1767,-92.575,41.125,2,2,IA,Coal,ST-RC,5
303,1768,-83.825,33.075,2,2,GA,Coal,ST-RC,6
304,1770,-81.975,38.975,2,2,WV,Coal,ST-RC,3
305,1771,-101.825,47.525,2,2,ND,Coal,ST-RC,4
306,1772,-112.575,39.525,2,2,UT,Coal,ST-RC,4
307,1773,-92.475,31.325,2,5,LA,Oil,ST-RC,0
308,1775,-87.425,37.575,2,2,KY,Coal,ST-RC,3
309,1776,-91.425,35.675,2,2,AR,Coal,ST-RC,6
310,1777,-97.025,30.575,2,2,TX,Coal,ST-RC,0
311,1778,-91.075,41.325,2,2,IA,Coal,ST-RC,5
312,1779,-87.375,37.925,1,2,IN,Coal,ST-OT,3
313,1780,-105.025,40.875,2,2,CO,Coal,ST-RC,4
314,1781,-89.625,36.875,2,2,MO,Coal,ST-RC,3
315,1782,-95.325,33.975,2,2,OK,Coal,ST-RC,2
316,1783,-87.125,37.425,2,2,KY,Coal,ST-RC,3
317,1784,-96.725,31.075,2,2,TX,Coal,ST-RC,0
318,1785,-98.325,29.275,2,2,TX,Coal,ST-RC,0
319,1786,-75.525,39.675,5,3,DE,Gas,CC-RC,5
320,1787,-80.925,33.325,2,2,SC,Coal,ST-RC,2
321,1788,-78.675,36.875,2,2,VA,Coal,ST-RC,2
322,1789,-81.975,27.725,5,2,FL,Coal,CC-RC,7
323,1792,-94.625,37.075,5,3,MO,Gas,CC-RC,3
324,1793,-81.875,27.775,5,3,FL,Gas,CC-RC,7
325,1794,-73.075,40.825,5,3,NY,Gas,CC-RC,5
326,1796,-119.675,45.875,5,3,OR,Gas,CC-RC,1
327,1798,-105.375,44.275,3,2,WY,Coal,ST-DC,2
328,1799,-98.375,29.275,5,3,TX,Gas,CC-RC,0
329,1803,-121.425,38.525,5,3,CA,Gas,CC-RC,5
330,1804,-121.475,38.525,5,3,CA,Gas,CC-RC,5
331,1808,-109.675,40.125,2,2,UT,Coal,ST-RC,4
332,1809,-94.475,32.475,2,2,TX,Coal,ST-RC,6
333,1813,-70.775,43.075,2,5,NH,Oil,ST-RC,1
334,1814,-73.975,41.575,1,5,NY,Oil,ST-OT,1
335,1817,-89.475,43.475,2,2,WI,Coal,ST-RC,1
336,1821,-91.125,33.375,2,5,MS,Oil,ST-RC,6
337,1822,-90.575,30.025,1,5,LA,Oil,ST-OT,6
338,1823,-98.325,34.525,5,3,OK,Gas,CC-RC,3
339,1825,-109.475,41.575,2,2,WY,Coal,ST-RC,3
340,1826,-111.775,33.325,5,3,AZ,Gas,CC-RC,6
341,1827,-111.075,39.375,2,2,UT,Coal,ST-RC,8
342,1828,-123.175,46.175,5,3,OR,Gas,CC-RC,4
343,1830,-82.075,38.975,2,2,OH,Coal,ST-RC,3
344,1831,-104.725,38.675,2,2,CO,Coal,ST-RC,1
345,1832,-101.775,47.525,2,2,ND,Coal,ST-RC,4
346,1833,-109.175,34.325,2,2,AZ,Coal,ST-RC,4
347,1834,-117.125,40.875,2,2,NV,Coal,ST-RC,0
348,1835,-79.825,40.525,1,2,PA,Coal,ST-OT,1
349,1838,-77.425,37.525,5,3,VA,Gas,CC-RC,3
350,1870,-70.525,44.525,6,3,ME,Gas,CC-DC,2
351,1871,-104.975,39.675,5,3,CO,Gas,CC-RC,4
352,1874,-121.525,36.975,5,3,CA,Gas,CC-RC,5
353,1875,-75.475,39.775,2,2,NJ,Coal,ST-RC,3
354,1877,-75.525,39.725,5,3,NJ,Gas,CC-RC,5
355,1878,-78.825,40.575,2,2,PA,Coal,ST-RC,5
356,1880,-118.425,33.925,5,3,CA,Gas,CC-RC,6
357,1884,-121.125,36.225,5,3,CA,Gas,CC-RC,1
358,1886,-71.475,42.075,5,3,MA,Gas,CC-RC,1
359,1887,-74.375,40.475,5,3,NJ,Gas,CC-RC,5
360,1891,-121.975,37.975,5,3,CA,Gas,CC-RC,5
361,1892,-121.725,39.025,5,3,CA,Gas,CC-RC,5
362,1895,-77.175,37.325,2,2,VA,Coal,ST-RC,3
363,1896,-77.975,33.925,2,1,NC,Bio-power,ST-RC,6
364,1897,-78.975,36.425,2,1,NC,Bio-power,ST-RC,3
365,1898,-77.725,35.975,2,2,NC,Coal,ST-RC,6
366,1904,-70.575,44.525,2,1,ME,Bio-power,ST-RC,1
367,1906,-96.575,28.675,5,3,TX,Gas,CC-RC,0
368,1907,-75.525,39.625,2,2,NJ,Coal,ST-RC,2
369,1909,-75.475,43.875,5,3,NY,Gas,CC-RC,1
370,1910,-76.225,43.075,5,3,NY,Gas,CC-RC,1
371,1911,-77.225,37.325,5,3,VA,Gas,CC-RC,3
372,1914,-94.625,35.175,2,2,OK,Coal,ST-RC,2
373,1915,-81.625,30.425,2,2,FL,Coal,ST-RC,0
374,1920,-78.725,39.575,2,2,MD,Coal,ST-RC,3
