5,76505
3,76915
1,2147
2,1808
4,75507
1,75877
3,2245
2,1488
1,1368
1,632047
0,73311
0,73318
0,77648
4,75775
2,75292
3,2340
1,2298
4,74819
1,76780
4,77351
0,73583
1,75024
4,77675
1,2158
4,76885
1,1392
1,1909
5,2460
5,1870
5,2415
1,2312
2,1696
2,1990
4,73721
5,2424
4,1911
1,74091
4,1477
2,2252
2,73085
1,1544
5,2409
0,77709
5,1432
5,1648419
0,2012
4,74205
5,385530
1,2117
1,73535
5,77569
0,73503
5,588046
4,1624
0,2009
0,2344
0,73961
1,650972
1,75065
1,1350
4,1314
0,922140
5,2036
5,1702
2,1904
3,1595
4,76096
5,76420
1,1442
5,2423
2,1573104
0,73538
3,74182
5,74134
4,73740
1,2201
4,1578
1,72745
5,72826
1,2438
4,1951
1,1928
0,2153
4,1895
2,74906
3,1622
5,74800
5,587704
1,75628
5,608012
1,1352
5,2054
3,1724
1,1886
1,73944
4,73765
4,78118
1,613326
5,1792
5,1502940
2,75189
2,76147
1,76541
5,75004
3,613335
4,2002
4,1781
5,77045
5,1306
2,72938
4,1382
4,1744
1,1380
1,1927
4,76302
0,1585
1,1365
4,77934
0,2014
0,1587
2,73761
1,1377
5,74339
5,1390
4,1562
5,74076
2,2156
1,75069
4,77057
5,77269
5,1608
1,2419
5,1946
1,2066
3,1526
1,2092
5,1738
4,2174
4,587961
2,77131
0,1310
1,2139
2,2440
5,1503622
5,587560
2,77504
3,75751
5,1127605
1,76440
3,1576
5,2461
1,75997
1,2101
1,73854
5,1388
1,913505
5,75164
5,2335
1,1410
1,1490
5,1704
2,2437
2,1728
5,594170
4,73867
5,1500
5,856045
4,78230
1,2084
4,76629
4,1514
0,2328
1,2095
1,2434
1,76903
4,1735
4,75780
5,2089
2,76599
1,1168279
1,74066
1,2119
5,76838
5,75494
4,1605
1,1348
1,1450
0,2114
0,2103
4,74161
1,74475
2,76820
3,74486
5,2422
4,75818
0,849342
1,2431
5,2456
4,2269
2,1884
1,1711
5,2011
2,76102
5,607176
4,2102
4,841085
5,76664
3,1717
5,1419
1,76600
0,1827
1,78169
5,613310
4,2220
1,1684
5,1804
1,2015
4,74365
1,2327
0,2166
5,1830
5,2087
1,74509
3,1569
3,1784
2,1780
5,1538
4,588007
4,1378
4,75819
0,75909
1,76426
2,73195
4,2229
1,74474
3,826582
3,1387
1,2442
1,2100
0,76642
5,1929
2,1487
1,76734
3,1483
1,2458
5,1181091
5,1825
0,2367
4,75179
1,77503
4,1606
5,2136
3,1740
2,74886
4,1143769
1,75538
2,1363
5,871146
3,1322
5,2268
5,1161596
1,1670
0,2024
0,2187
4,1768
3,2248
1,1349
2,1734
3,1579
1,2444
3,1834
2,405319
1,2261
2,74306
1,2429
0,73051
5,588008
2,75064
1,1342
1,2378
4,1386
1,77747
4,76240
5,1655
3,2149
4,77255
4,1798
1,75148
1,1196724
5,1472
0,2346
2,587571
0,2228
4,2085
3,73950
4,2138
5,891963
2,74936
2,77093
1,1511
1,1746
2,76973
1,75856
2,1708
1,77860
1,1925
1,76243
5,1507
5,2452
1,75023
5,1328
3,1317
5,2449
5,2450
5,1897
4,2108
4,1305
1,73720
2,1772
1,75345
4,75393
1,76160
4,2316
4,2420
4,1480
4,73532
5,74307
5,78151
1,1996
5,1875
1,2435
4,607274
1,587756
4,73009
1,72767
4,73256
3,1754
1,587988
5,1332
1,1796
1,74630
3,1384
4,74097
0,74931
1,587724
1,587994
1,1813
5,1985
2,2317
4,1574461
5,76542
1,1396
5,588110
0,2142
1,74293
3,912854
3,1642
4,74507
1,76499
2,588164
1,1756
5,1510
1,74408
0,1799
0,76368
1,78045
3,1970
4,1561
4,2099
5,1669
5,2212
4,1880
2,75632
4,2275
3,77005
1,73974
2,2436
4,74185
1,2082
2,1319175
1,607160
4,588238
1,2211
4,74816
0,76886
5,2391
3,2250
5,75568
1,75616
3,2278
0,2107
5,1887
3,1686
0,2059
4,2173
0,76798
5,2455
4,1607
1,1973
5,1705
3,1577
5,1786
5,1979
4,76841
4,75441
5,2469
2,75187
1,593927
5,76790
5,2334
1,1817
3,77325
2,73384
0,2055
4,75258
5,2170
3,1646
1,1371
4,2426
0,73881
4,874697
5,76418
4,2222
1,1750
1,73939
5,78246
1,588012
5,75088
1,1354
3,2351
4,883620
3,1753
5,1779
0,2128
4,72752
0,76008
1,75796
2,2064
5,1759
4,2143
5,1516
1,73716
0,2270
1,1701
4,1590
4,1181214
2,77570
5,2411
5,72731
2,1710
4,74993
5,732864
1,74912
1,1395
4,1715
0,1906
5,1907
0,73072
4,1482
0,2368
1,2093
2,73332
5,1651571
2,77757
4,74825
