,place,lon,lat,cooling,fuel,state,f,c,idc
5,1310,-92.175,30.825,4,3,LA,Gas,CC-OT,7
173,1585,-97.375,27.775,5,3,TX,Gas,CC-RC,7
174,1587,-97.025,28.775,5,3,TX,Gas,CC-RC,7
246,1713,-82.325,27.625,2,5,FL,Oil,ST-RC,7
247,1713,-82.325,27.625,5,3,FL,Gas,CC-RC,7
248,1714,-80.575,27.075,5,3,FL,Gas,CC-RC,7
249,1714,-80.575,27.075,2,5,FL,Oil,ST-RC,7
287,1752,-97.225,28.725,2,2,TX,Coal,ST-RC,7
322,1789,-81.975,27.725,5,2,FL,Coal,CC-RC,7
324,1793,-81.875,27.775,5,3,FL,Gas,CC-RC,7
419,2009,-81.975,27.625,5,3,FL,Gas,CC-RC,7
423,2014,-80.525,27.025,2,2,FL,Coal,ST-RC,7
443,2055,-81.825,27.875,5,3,FL,Gas,CC-RC,7
444,2056,-81.675,28.925,5,3,FL,Gas,CC-RC,7
445,2057,-82.175,28.375,5,3,FL,Gas,CC-RC,7
446,2059,-81.875,27.825,5,3,FL,Gas,CC-RC,7
456,2078,-81.825,28.075,5,3,FL,Gas,CC-RC,7
483,2114,-114.975,35.775,6,3,NV,Gas,CC-DC,7
486,2118,-97.275,27.875,5,3,TX,Gas,CC-RC,7
491,2123,-98.375,26.175,5,3,TX,Gas,CC-RC,7
495,2135,-98.225,26.325,5,3,TX,Gas,CC-RC,7
499,2140,-97.875,29.525,5,3,TX,Gas,CC-RC,7
500,2142,-97.975,29.775,6,3,TX,Gas,CC-DC,7
504,2148,-97.925,29.525,5,3,TX,Gas,CC-RC,7
514,2166,-97.425,27.825,5,3,TX,Gas,CC-RC,7
530,2207,-97.225,27.875,5,3,TX,Gas,CC-RC,7
539,2228,-98.175,26.325,5,3,TX,Gas,CC-RC,7
545,2241,-81.925,27.625,5,3,FL,Gas,CC-RC,7
603,2328,-81.175,28.475,5,3,FL,Gas,CC-RC,7
604,2328,-81.175,28.475,2,2,FL,Coal,ST-RC,7
610,2340,-81.825,26.675,4,3,FL,Gas,CC-OT,7
613,2345,-80.325,25.425,2,4,FL,Nuclear,ST-RC,7
614,2345,-80.325,25.425,5,3,FL,Gas,CC-RC,7
615,2345,-80.325,25.425,2,5,FL,Oil,ST-RC,7
616,2346,-82.725,28.925,2,2,FL,Coal,ST-RC,7
626,2363,-80.075,26.625,5,3,FL,Gas,CC-RC,7
627,2364,-81.925,28.025,5,3,FL,Gas,CC-RC,7
628,2365,-81.925,28.075,2,5,FL,Oil,ST-RC,7
629,2365,-81.925,28.075,5,3,FL,Gas,CC-RC,7
630,2365,-81.925,28.075,2,2,FL,Coal,ST-RC,7
760,73503,-81.525,28.275,5,3,FL,Gas,CC-RC,7
766,73583,-81.575,28.425,5,3,FL,Gas,CC-RC,7
777,73721,-118.725,44.475,2,1,OR,Bio-power,ST-RC,7
872,75123,-101.775,33.575,5,3,TX,Gas,CC-RC,7
873,75123,-101.775,33.575,2,5,TX,Oil,ST-RC,7
947,76312,-80.775,26.575,2,1,FL,Bio-power,ST-RC,7
950,76368,-81.825,28.025,5,3,FL,Gas,CC-RC,7
991,76886,-81.875,28.025,2,1,FL,Bio-power,ST-RC,7
1037,77622,-81.825,27.725,5,3,FL,Gas,CC-RC,7
1054,77938,-96.025,28.825,2,4,TX,Nuclear,ST-RC,7
1058,78060,-97.525,25.875,2,5,TX,Oil,ST-RC,7
1059,78060,-97.525,25.875,5,3,TX,Gas,CC-RC,7
1065,78220,-97.125,28.875,1,5,TX,Oil,ST-OT,7
1066,78220,-97.125,28.875,4,3,TX,Gas,CC-OT,7
1127,732898,-80.375,26.675,5,3,FL,Gas,CC-RC,7
1131,748853,-80.375,27.375,5,3,FL,Gas,CC-RC,7
1132,751356,-96.575,28.625,2,2,TX,Coal,ST-RC,7
1177,1744511,-82.075,27.875,2,5,FL,Oil,ST-RC,7
